strike_confidence,entry_threshold_bps,n,corr_abs_trend_bps_net_pnl,corr_abs_distance_bps_net_pnl,corr_entry_price_net_pnl,corr_abs_trend_bps_correct,corr_abs_distance_bps_correct,corr_trend_vs_distance,note
ALL,0,169,-0.11150433280676073,-0.11643224557411495,-0.15492813489389354,0.09046565419063037,0.08215596605386409,0.993008828502267,descriptive Pearson correlations; print-based entries; not causal
ALL,2,124,-0.07513410154953128,-0.08375483577832153,-0.03024757598545552,0.06264702202598048,0.05172795639637245,0.9908551944139502,descriptive Pearson correlations; print-based entries; not causal
ALL,5,73,-0.05621772621628454,-0.07640894428446314,0.08244969068919672,0.03723281610399969,0.01771945464668369,0.9871871385341033,descriptive Pearson correlations; print-based entries; not causal
HIGH,0,6,-0.9842512607377397,-0.9160537477783387,-0.8984595797730405,-0.977374184443784,-0.8984394433091295,0.9042697751134444,descriptive Pearson correlations; print-based entries; not causal
HIGH,2,6,-0.9842512607377397,-0.9160537477783387,-0.8984595797730405,-0.977374184443784,-0.8984394433091295,0.9042697751134444,descriptive Pearson correlations; print-based entries; not causal
HIGH,5,4,-0.9955484892724618,-0.9325541966757098,-0.9193628626798056,-0.9998773189075271,-0.9014581675824056,0.9053364214643397,descriptive Pearson correlations; print-based entries; not causal
LOW_PROXY,0,163,-0.09112914524278785,-0.09114240119532482,-0.14682304570512114,0.11877852277645366,0.11876676722052482,0.9999999251707691,descriptive Pearson correlations; print-based entries; not causal
LOW_PROXY,2,118,-0.03785996662364701,-0.03788703657384171,-0.003975026870875851,0.10477467374839927,0.10475497275985565,0.9999999150936628,descriptive Pearson correlations; print-based entries; not causal
LOW_PROXY,5,69,0.0027518153293053325,0.0027019987004115948,0.12844253091835162,0.09678322899224619,0.09674920543143894,0.9999998716685831,descriptive Pearson correlations; print-based entries; not causal
