slug,gamma_metadata_status,gamma_winner_status,public_trade_fetch_status,public_price_history_status,public_trade_rows,gamma_official_strike_available,local_chainlink_strike_available,reconstructed_strike_available,selected_strike_source,selected_strike_confidence,btc_candles_market_window,lifecycle_points_available,excluded_from_distance_analysis,exclusion_reason
btc-updown-15m-1788915600,success,resolved,success,success,4951,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788937200,success,resolved,success,success,576,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788958800,success,resolved,success,success,915,False,True,True,CHAINLINK_REFERENCE,HIGH,15,9,False,
btc-updown-15m-1789045200,success,resolved,success,success,1422,False,True,True,CHAINLINK_REFERENCE,HIGH,15,9,False,
btc-updown-15m-1789066800,success,resolved,success,success,653,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789088400,success,resolved,success,success,563,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789153200,success,resolved,success,success,630,False,True,True,CHAINLINK_REFERENCE,HIGH,15,9,False,
btc-updown-15m-1789174800,success,resolved,success,success,617,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789191000,success,resolved,success,success,617,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789201800,success,resolved,success,success,389,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789212600,success,resolved,success,success,438,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789234200,success,resolved,success,success,526,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789245000,success,resolved,success,success,973,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789255800,success,resolved,success,success,770,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789299000,success,resolved,success,success,331,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789309800,success,resolved,success,success,621,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789320600,success,resolved,success,success,340,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789331400,success,resolved,success,success,719,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789342200,success,resolved,success,success,547,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789353000,success,resolved,success,success,1024,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789369200,success,resolved,success,success,753,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789390800,success,resolved,success,success,1529,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789434000,success,resolved,success,success,637,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789455600,success,resolved,success,success,887,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789498800,success,resolved,success,success,1002,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789563600,success,resolved,success,success,524,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789585200,success,resolved,success,success,719,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789606800,success,resolved,success,success,638,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789628400,success,resolved,success,success,434,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789671600,success,resolved,success,success,631,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789714800,success,resolved,success,success,1132,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789736400,success,resolved,success,success,1040,False,True,True,CHAINLINK_REFERENCE,HIGH,15,9,False,
btc-updown-15m-1789779600,success,resolved,success,success,622,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789795800,success,resolved,success,success,638,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789806600,success,resolved,success,success,513,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789817400,success,resolved,success,success,1090,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789839000,success,resolved,empty,success,0,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789849800,success,resolved,success,success,952,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789860600,success,resolved,success,success,2041,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789871400,success,resolved,success,success,759,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789882200,success,resolved,success,success,726,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789893000,success,resolved,success,success,465,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789903800,success,resolved,success,success,638,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789914600,success,resolved,success,success,443,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789925400,success,resolved,success,success,540,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1789947000,success,resolved,success,success,571,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
