slug,gamma_metadata_status,gamma_winner_status,public_trade_fetch_status,public_price_history_status,public_trade_rows,gamma_official_strike_available,local_chainlink_strike_available,reconstructed_strike_available,selected_strike_source,selected_strike_confidence,btc_candles_market_window,lifecycle_points_available,excluded_from_distance_analysis,exclusion_reason
btc-updown-15m-1786150800,success,resolved,success,success,780,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786167000,success,resolved,success,success,617,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786177800,success,resolved,success,success,425,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786188600,success,resolved,success,success,803,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786210200,success,resolved,success,success,772,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786221000,success,resolved,success,success,724,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786231800,success,resolved,success,success,576,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786242600,success,resolved,success,success,717,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786253400,success,resolved,success,success,957,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786275000,success,resolved,success,success,648,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786285800,success,resolved,success,success,741,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786296600,success,resolved,success,success,820,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786318200,success,resolved,success,success,1170,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786329000,success,resolved,success,success,630,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786388400,success,resolved,success,success,841,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786410000,success,resolved,success,success,996,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786431600,success,resolved,success,success,945,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786453200,success,resolved,success,success,1121,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786496400,success,resolved,success,success,1394,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786518000,success,resolved,success,success,486,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786561200,success,resolved,success,success,1090,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786626000,success,resolved,success,success,866,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786647600,success,resolved,success,success,656,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786669200,success,resolved,success,success,1600,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786690800,success,resolved,success,success,859,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786734000,success,resolved,success,success,690,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786771800,success,resolved,success,success,531,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786782600,success,resolved,success,success,673,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786793400,success,resolved,success,success,638,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786804200,success,resolved,success,success,954,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786815000,success,resolved,success,success,1021,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786825800,success,resolved,success,success,771,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786858200,success,resolved,success,success,932,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786879800,success,resolved,success,success,634,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786890600,success,resolved,success,success,880,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786901400,success,resolved,success,success,976,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1786923000,success,resolved,success,success,661,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
