slug,lifecycle_time,day_type,hour_block,abs_distance_bps,safety_sigma,volatility_source,prior_return_count,remaining_volatility_usd,future_data_used_for_features
btc-updown-15m-1785265200,T-2m,weekday,12-18,6.828327958693021,0.9364049688297935,VOLATILITY_PROXY_PRIOR_60M,60,46.475618400861485,False
btc-updown-15m-1785265200,T-1m,weekday,12-18,6.51295711317405,1.2672641584956754,VOLATILITY_PROXY_PRIOR_60M,60,32.75560168077119,False
btc-updown-15m-1785286800,T+1m,weekday,18-24,4.994215372644467,0.2213153791188406,VOLATILITY_PROXY_PRIOR_60M,60,144.3189358424301,False
btc-updown-15m-1785286800,T+2m,weekday,18-24,1.888857911758398,0.08616962742652612,VOLATILITY_PROXY_PRIOR_60M,60,140.18860659809567,False
btc-updown-15m-1785286800,T+3m,weekday,18-24,4.514182774210432,0.21428956611504124,VOLATILITY_PROXY_PRIOR_60M,60,134.72424497095568,False
btc-updown-15m-1785286800,T+5m,weekday,18-24,5.005160741339522,0.26016326070539597,VOLATILITY_PROXY_PRIOR_60M,60,123.03812580304937,False
btc-updown-15m-1785286800,T+10m,weekday,18-24,6.254496396550082,0.49681798918721615,VOLATILITY_PROXY_PRIOR_60M,60,80.51238254363366,False
btc-updown-15m-1785286800,T-5m,weekday,18-24,5.005160741339522,0.26016326070539597,VOLATILITY_PROXY_PRIOR_60M,60,123.03812580304937,False
btc-updown-15m-1785286800,T-3m,weekday,18-24,4.062295409558642,0.2942966015972517,VOLATILITY_PROXY_PRIOR_60M,60,88.27828747934322,False
btc-updown-15m-1785286800,T-2m,weekday,18-24,11.569254709518196,1.027156121235088,VOLATILITY_PROXY_PRIOR_60M,60,72.03384029978795,False
btc-updown-15m-1785286800,T-1m,weekday,18-24,15.634677367275751,1.8943239326484982,VOLATILITY_PROXY_PRIOR_60M,60,52.78400292404036,False
btc-updown-15m-1785351600,T+1m,weekday,12-18,2.7131143576151384,0.07477279546996922,VOLATILITY_PROXY_PRIOR_60M,60,234.04233973074437,False
btc-updown-15m-1785351600,T+2m,weekday,12-18,11.215239578850822,0.3166881187812277,VOLATILITY_PROXY_PRIOR_60M,60,228.42663083921124,False
btc-updown-15m-1785351600,T+3m,weekday,12-18,7.832373562670163,0.23209066345407503,VOLATILITY_PROXY_PRIOR_60M,60,217.67355587744584,False
btc-updown-15m-1785351600,T+5m,weekday,12-18,5.816917182726361,0.19052766524268575,VOLATILITY_PROXY_PRIOR_60M,60,196.92678200935006,False
btc-updown-15m-1785351600,T+10m,weekday,12-18,42.375745563824616,2.040577095906425,VOLATILITY_PROXY_PRIOR_60M,60,133.9474017170526,False
