strike_confidence,entry_threshold_bps,distance_bucket,n,win_rate,mean_net_pnl,mean_entry_price
ALL,0,<1bps,30,0.6333333333333333,2.9503672837512585,0.5022379441226398
ALL,0,1-2bps,15,0.6666666666666666,1.6523805064339812,0.5787977036607209
ALL,0,2-5bps,52,0.7115384615384616,1.0568262539290254,0.6413667577487885
ALL,0,5-10bps,37,0.7837837837837838,0.7335106515737225,0.7196776484147134
ALL,0,>10bps,35,0.7428571428571429,-0.6814399186174864,0.7796795324316745
ALL,2,<1bps,0,,,
ALL,2,1-2bps,0,,,
ALL,2,2-5bps,52,0.7115384615384616,1.0568262539290254,0.6413667577487885
ALL,2,5-10bps,37,0.7837837837837838,0.7335106515737225,0.7196776484147134
ALL,2,>10bps,35,0.7428571428571429,-0.6814399186174864,0.7796795324316745
ALL,5,<1bps,0,,,
ALL,5,1-2bps,0,,,
ALL,5,2-5bps,2,1.0,4.838686850629323,0.6699999006415709
ALL,5,5-10bps,36,0.7777777777777778,0.5821009590555458,0.7226106402977142
ALL,5,>10bps,35,0.7428571428571429,-0.6814399186174864,0.7796795324316745
HIGH,0,<1bps,0,,,
HIGH,0,1-2bps,0,,,
HIGH,0,2-5bps,3,1.0,4.935420752874454,0.6655488465468063
HIGH,0,5-10bps,1,1.0,6.184259582228085,0.6140899406266868
HIGH,0,>10bps,2,0.5,-3.25068493150685,0.7699520162904054
HIGH,2,<1bps,0,,,
HIGH,2,1-2bps,0,,,
HIGH,2,2-5bps,3,1.0,4.935420752874454,0.6655488465468063
HIGH,2,5-10bps,1,1.0,6.184259582228085,0.6140899406266868
HIGH,2,>10bps,2,0.5,-3.25068493150685,0.7699520162904054
HIGH,5,<1bps,0,,,
HIGH,5,1-2bps,0,,,
HIGH,5,2-5bps,2,1.0,4.838686850629323,0.6699999006415709
HIGH,5,5-10bps,0,,,
HIGH,5,>10bps,2,0.5,-3.25068493150685,0.7699520162904054
LOW_PROXY,0,<1bps,30,0.6333333333333333,2.9503672837512585,0.5022379441226398
LOW_PROXY,0,1-2bps,15,0.6666666666666666,1.6523805064339812,0.5787977036607209
LOW_PROXY,0,2-5bps,49,0.6938775510204082,0.8193612846058359,0.6398862216999303
LOW_PROXY,0,5-10bps,36,0.7777777777777778,0.5821009590555458,0.7226106402977142
LOW_PROXY,0,>10bps,33,0.7575757575757576,-0.5257280996544947,0.7802690788644787
LOW_PROXY,2,<1bps,0,,,
LOW_PROXY,2,1-2bps,0,,,
LOW_PROXY,2,2-5bps,49,0.6938775510204082,0.8193612846058359,0.6398862216999303
LOW_PROXY,2,5-10bps,36,0.7777777777777778,0.5821009590555458,0.7226106402977142
LOW_PROXY,2,>10bps,33,0.7575757575757576,-0.5257280996544947,0.7802690788644787
LOW_PROXY,5,<1bps,0,,,
LOW_PROXY,5,1-2bps,0,,,
LOW_PROXY,5,2-5bps,0,,,
LOW_PROXY,5,5-10bps,36,0.7777777777777778,0.5821009590555458,0.7226106402977142
LOW_PROXY,5,>10bps,33,0.7575757575757576,-0.5257280996544947,0.7802690788644787
