metric,paired_weeks,weekday_weekly_mean,weekend_weekly_mean,weekend_minus_weekday,bootstrap_ci95_low,bootstrap_ci95_high,paired_sign_flip_p,weekend_lower_weeks
public_trade_count,8,924.425,809.2135416666666,-115.21145833333331,-280.753125,64.99039062499997,0.2734375,6
public_volume_shares,8,26305.5673032,22125.314246114584,-4180.253057085417,-9948.566167091773,4539.5565830062515,0.359375,7
median_trade_size,8,8.907630568750001,8.501045921875,-0.40658464687500007,-1.2474123416666667,0.4172667156249996,0.4375,6
max_no_trade_interval_sec,8,59.8125,53.166666666666664,-6.645833333333332,-43.91770833333333,29.10510416666665,0.671875,5
realized_volatility,7,0.6082547678069833,0.645838477809213,0.03758371000222958,-0.06435516752300688,0.11715272412255841,0.5,2
