market_slug,condition_id,token_ids,identity_source,gamma_status,trade_fetch_status,trade_rows_raw,trade_rows_matched,trade_identity_mismatch_count,trade_error_code,trade_error_endpoint,price_fetch_status,price_points,price_error_code,price_error_endpoint,gamma_error_code,gamma_error_endpoint,cache_used,fetch_status,error_code,error_stage,error_endpoint,error_message,market_start_epoch,sample_group,weekend_et,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index
btc-updown-15m-1785697200,0x49a7b8ab85c81d53409d09abd8e10fe175b29c63a90dbd71bf04d0d50e945b5d,"[""84747162247565732204221516881973055170979162659461004645368196236667698945877"", ""56222199801725063953049702096778185231646250778726279099015839460496649191358""]",GAMMA,success,success,810,780,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785697200,weekend,True,2026-07-27,2026-09-20,2026-08-02,15,12-18,0
btc-updown-15m-1785718800,0x74dc8a1ade1f908da6c693381b1bf2d6493fa638cd4ca6413dee1b79861de3fe,"[""110405664093531227742652465039770729574643127237892248452761474742538460430971"", ""86567222273810627468595471571760912736104762048156317298946426953044150549609""]",GAMMA,success,success,1042,1021,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785718800,weekend,True,2026-07-27,2026-09-20,2026-08-02,21,18-24,0
btc-updown-15m-1785762000,0x01f62d59c4ec4dc4bbddf0901413fa9d4922370a0bbf6f0c976fb2b0cb584765,"[""111251452177244255213387572694497328017436964789298149818273656423786121574658"", ""56019072989361786537963370202556220591664218579632688326920420537153275716722""]",GAMMA,success,success,870,806,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785762000,weekday,False,2026-07-27,2026-09-20,2026-08-03,9,06-12,1
btc-updown-15m-1785870000,0xdfa3506247033fa99157d21779c3b4e9eadafad6c1e394c474fcb11caec16a9b,"[""36933494338229912030751328986459292514815308738161021506160261221445420478412"", ""48899895822442789340234096563429070453273991027208002935742454029147770231441""]",GAMMA,success,success,1049,1029,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785870000,weekday,False,2026-07-27,2026-09-20,2026-08-04,15,12-18,1
btc-updown-15m-1785891600,0x31ca8ac9cb20467fc0acba075d4f386bd89345d2249d51581101bee39cd03d9a,"[""110878581016657854289620407509205234199063400521415824945472046580764191995929"", ""92375839968254257838871366506480422158191998114333192142991257137705427472330""]",GAMMA,success,success,1120,1093,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785891600,weekday,False,2026-07-27,2026-09-20,2026-08-04,21,18-24,1
btc-updown-15m-1785913200,0x7c4d0cac82f734cc487a33960d88a1b5bed290bcc3e83d6ffc5d144fe3b366e6,"[""81910213187473788916523505888560742611060969551492139641491245310043748601906"", ""100412407572720570557455873926730608254169945111975423146470373611952702321030""]",GAMMA,success,success,895,797,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1785913200,weekday,False,2026-07-27,2026-09-20,2026-08-05,3,00-06,1
btc-updown-15m-1786021200,0x6629c7ac768c519ac252050022a9b8e8c5cd6ee5ae4e12c4de1a51595e995e72,"[""30159521139059038216355191731416463084603806744386183029048937342516014728381"", ""77569791398341331814128923823165304290928588947973959775061368286060804623828""]",GAMMA,success,success,881,818,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786021200,weekday,False,2026-07-27,2026-09-20,2026-08-06,9,06-12,1
btc-updown-15m-1786129200,0x3de7a5b1e962e5cb1e4ed28733c6d51863bd7ce09e9d11cb090adfab690c09b9,"[""92576722613488462319894848875109454693823652790941211809475165691484107971554"", ""101789353193379852919583356403474019529565012769428842741748774693675251125848""]",GAMMA,success,success,559,526,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786129200,weekday,False,2026-07-27,2026-09-20,2026-08-07,15,12-18,1
btc-updown-15m-1786172400,0x55f8ec0f3af5da742391df5ca2e6ed50e5127f2771c243c95c75c74df94b81a6,"[""77002484643553609029191976137463177442108045808731990585506119400544219722271"", ""100715086784077979637329558367329747161938704348404023201988727408073180362785""]",GAMMA,success,success,838,791,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786172400,weekend,True,2026-07-27,2026-09-20,2026-08-08,3,00-06,1
btc-updown-15m-1786215600,0x185edcf22b4499a83ff89291829410ad0d5bc3c41b1453eeee43721d7cb85db9,"[""79636320783922593664561564009227047862835077979923119563761081245248441318662"", ""18492183546399027473598025897874007152274553801509419105330587684972234024359""]",GAMMA,success,success,795,769,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786215600,weekend,True,2026-07-27,2026-09-20,2026-08-08,15,12-18,1
btc-updown-15m-1786237200,0x58b9d3bcf372f29b0a6a0a12410638b70934e6cfe4be72348280048d9dfcd03a,"[""100113238090590286984364746293035928950616427000499061515836931141104881417533"", ""63933296734006579562971925740129450018080417169957525167381050205646098005784""]",GAMMA,success,success,738,716,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786237200,weekend,True,2026-07-27,2026-09-20,2026-08-08,21,18-24,1
btc-updown-15m-1786258800,0xed975975b9c201e0cf29f3c71c13bb466ba7a79e5c77b9154e529d70658624e6,"[""103496801846849386007621984681349353835616747942273170281731326785745156771403"", ""81194376844237560241024153150649727842595138174272706147570431252511680437908""]",GAMMA,success,success,1094,1035,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786258800,weekend,True,2026-07-27,2026-09-20,2026-08-09,3,00-06,1
btc-updown-15m-1786280400,0x6b434a87219766c9a6d3691ae06793d6e373bd8b992ee2e63c4f10aa55215ad3,"[""21435673519626445416173900872001429345556960094149115498038004385080316256278"", ""45042861211433259726893746142078865281229303208637861616108990173000819184620""]",GAMMA,success,success,425,374,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786280400,weekend,True,2026-07-27,2026-09-20,2026-08-09,9,06-12,1
btc-updown-15m-1786323600,0x3531a114550d9437a1ad5930b873530a86e2b2ea9edf35caa689c47032c9cf43,"[""28013084790857538369330742909447713025415463785628731587989148659037613921763"", ""36726640657940056170351957184274691263569930918173247743074465611759511416496""]",GAMMA,success,success,1129,1092,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786323600,weekend,True,2026-07-27,2026-09-20,2026-08-09,21,18-24,1
btc-updown-15m-1786388400,0xcb09cd53cbf82a0e7d9604a09f7e51c1fdc6100e9d4e8d692cbfa5d74222cc40,"[""65436384964997387085441386268486459233890619790210212080413011417925437140420"", ""586836278864636410601860160828398794259168752527678272026467789423784845457""]",GAMMA,success,success,881,841,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786388400,weekday,False,2026-07-27,2026-09-20,2026-08-10,15,12-18,2
btc-updown-15m-1786410000,0x7dc663e89e2f8cdd22d1a9076c0e844db975bd8518a74d45b742385c1e7f463e,"[""39552067044231208429459848774921884709188010964628537712255779186071520032031"", ""83904479656804255271681888524475334771703764678686695115544518907660660150925""]",GAMMA,success,success,1023,996,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786410000,weekday,False,2026-07-27,2026-09-20,2026-08-10,21,18-24,2
btc-updown-15m-1786431600,0x74382e32c3c16286de14393d8b0c0513b19ca5c90391093a0723021695a67812,"[""87699074916290776256792778144857124488962890101549314589709097814398339329797"", ""66603584703813022744626281753123023334013653404130627267442626297041859588948""]",GAMMA,success,success,1000,945,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786431600,weekday,False,2026-07-27,2026-09-20,2026-08-11,3,00-06,2
btc-updown-15m-1786539600,0xb7b3a212956f4ab65d981d8567f7dbc5b8cd1231e7a8dc5a7d01ad8f526fb949,"[""87227365992340653699160394685103916681951298437028130695211028840352848811182"", ""98294510106798405021020985174529890485915685427026276075231110189425764016120""]",GAMMA,success,success,994,946,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786539600,weekday,False,2026-07-27,2026-09-20,2026-08-12,9,06-12,2
btc-updown-15m-1786626000,0xb518d134111aaddae55d6d1828f3412764e2b608e2acd7293826c34958fe7def,"[""61799221867809506528752803420606749025165148480589736661183582490929105688888"", ""5438125689738921607760762158184668452205350030322192329540685475834823305514""]",GAMMA,success,success,931,866,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786626000,weekday,False,2026-07-27,2026-09-20,2026-08-13,9,06-12,2
btc-updown-15m-1786734000,0xf4d2c4db5c68b9bea21b6f2a28673ac816aa7dc900cddf7d9f0971d02758ca4a,"[""22064078452919925384980903150397431436602155848246675178384906838422496519408"", ""112445220201886084374355421783930126468235935093422715190513729520138970571624""]",GAMMA,success,success,711,690,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1786734000,weekday,False,2026-07-27,2026-09-20,2026-08-14,15,12-18,2
