market_slug,weekend_et,weekend_utc,public_status,public_trade_count,public_volume_shares,public_volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,price_history_points,realized_volatility,price_jump_count_gt_5c,historical_spread,historical_l2_depth,price_history_source,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits,spread,depth_1c,depth_2c,depth_5c,quote_age_sec,quote_update_rate,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,market_start_epoch,sample_group,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index,entry_edge_samples,local_quote_samples,fill_markout_samples,top_bid_size_median,top_ask_size_median,depth_source
btc-updown-15m-1785913200,False,False,SUCCESS_PUBLIC_HISTORY,797,16274.770026,9008.718352996584,7.14,1.6557362000000002,43.15599999999999,75.0,0.8855555555555555,8,0.45612498287201947,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8855555555555555,16274.770026,,2,1785913200,weekday,2026-07-27,2026-09-20,2026-08-05,3,00-06,1,,,,,,
btc-updown-15m-1786021200,False,False,SUCCESS_PUBLIC_HISTORY,818,29455.193111,16732.043134968928,9.36335,2.0,73.9700000000002,90.0,0.9088888888888889,8,0.5199240329125016,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9088888888888889,29455.193111,,2,1786021200,weekday,2026-07-27,2026-09-20,2026-08-06,9,06-12,1,,,,,,
btc-updown-15m-1786129200,False,False,SUCCESS_PUBLIC_HISTORY,526,22263.27174,12287.734418968397,11.420531,2.0,104.546391,78.0,0.5844444444444444,8,0.5200480747007915,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.5844444444444444,22263.27174,,2,1786129200,weekday,2026-07-27,2026-09-20,2026-08-07,15,12-18,1,,,,,,
btc-updown-15m-1786172400,True,True,SUCCESS_PUBLIC_HISTORY,791,18399.254189,10049.4379739343,8.0,1.0309,55.0,30.0,0.8788888888888889,8,0.7035978965289763,2,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8788888888888889,18399.254189,,2,1786172400,weekend,2026-07-27,2026-09-20,2026-08-08,3,00-06,1,,,,,,
btc-updown-15m-1786215600,True,True,SUCCESS_PUBLIC_HISTORY,769,24646.215184,13560.758346009745,10.0,2.02325,80.75800000000007,60.0,0.8544444444444445,8,0.4930010141977398,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8544444444444445,24646.215184,,2,1786215600,weekend,2026-07-27,2026-09-20,2026-08-08,15,12-18,1,,,,,,
btc-updown-15m-1786237200,True,True,SUCCESS_PUBLIC_HISTORY,716,11266.551925,5129.718778995707,6.0,1.668276,34.056424,17.0,0.7955555555555556,8,0.7092601779319068,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.7955555555555556,11266.551925,,2,1786237200,weekend,2026-07-27,2026-09-20,2026-08-08,21,18-24,1,,,,,,
btc-updown-15m-1786258800,True,True,SUCCESS_PUBLIC_HISTORY,1035,28714.294812,14618.375585880618,10.0,2.5,60.2337764,12.0,1.15,8,0.5340880077290633,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.15,28714.294812,,2,1786258800,weekend,2026-07-27,2026-09-20,2026-08-09,3,00-06,1,,,,,,
btc-updown-15m-1786280400,True,True,SUCCESS_PUBLIC_HISTORY,374,9577.582814,5617.79989198142,8.47,1.532538,50.0,38.0,0.41555555555555557,8,0.6482368394344771,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.41555555555555557,9577.582814,,2,1786280400,weekend,2026-07-27,2026-09-20,2026-08-09,9,06-12,1,,,,,,
btc-updown-15m-1786323600,True,False,SUCCESS_PUBLIC_HISTORY,1092,24785.033881,12642.203498102463,6.44,1.25,53.89999999999998,17.0,1.2133333333333334,8,0.45458772530722824,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.2133333333333334,24785.033881,,2,1786323600,weekend,2026-07-27,2026-09-20,2026-08-09,21,18-24,1,,,,,,
btc-updown-15m-1786388400,False,False,SUCCESS_PUBLIC_HISTORY,841,23335.999431,12257.349055042387,8.216215,1.51515,60.0,40.0,0.9344444444444444,8,0.4138236339311712,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9344444444444444,23335.999431,,2,1786388400,weekday,2026-07-27,2026-09-20,2026-08-10,15,12-18,2,,,,,,
