run_id,client_order_id,market_slug,weekend_et,weekend_utc,instrument_id,side,entry_source,order_type,intended_price,submitted_size,filled_size,fill_vwap,fill_count,was_submitted,was_filled,was_canceled,partial_fill,fill_rate,entry_slippage,exit_slippage,submit_to_fill_sec,cancel_latency_sec,first_event_ts,first_fill_ts,exit_reason,realized_pnl
run_1789139786_e607c3d1,BTC-15M-MAKER-SELL-1789141856478,btc-updown-15m-1789141500,False,False,0xd43f5a98ab9d83e9f7d847af749340d27e824743a21e25337340942587e38414-44355296160661310524286461098052234353387814524822799030007187330414598932933.POLYMARKET,SELL,unknown,maker,0.97,5.46436,5.46436,0.97,1,True,True,False,False,1.0,,0.0,66.743465,,2026-09-11T15:50:56.480757+00:00,2026-09-11T15:52:03.224222+00:00,,0.3825052
run_1789139786_e607c3d1,BTC-15M-FAST-FOLLOW-BUY-1789142711297,btc-updown-15m-1789142400,False,False,0x93748a596f5b7adec491c032cc1b82c8ba83d41297e723b5df829a89df135a79-74852018422757654682781200701880189527027891877910973953100263262776356666009.POLYMARKET,BUY,outcome_fast_follow,fast_follow,0.8,5.5,0,,0,True,False,False,False,,,,,,2026-09-11T16:05:11.314503+00:00,,outcome_then_twap_confirmed,
run_1789147039_23d7d189,BTC-15M-FAST-FOLLOW-BUY-1789147325115,btc-updown-15m-1789146900,False,False,0xea69cf414ae8f417f3a8263be5302e2c3c06ce0438cf58c5b2316f7503943c6d-34810841080733922797807136372588993831889175475012716365700078136725158474133.POLYMARKET,BUY,outcome_fast_follow,fast_follow,0.75,5.48,6.227273,0.66,1,True,True,False,False,1.0,-0.08999999999999997,,4.228989,,2026-09-11T17:22:05.133636+00:00,2026-09-11T17:22:09.362625+00:00,outcome_then_twap_confirmed,
run_1789147039_23d7d189,BTC-15M-MAKER-SELL-1789147340129,btc-updown-15m-1789146900,False,False,0xea69cf414ae8f417f3a8263be5302e2c3c06ce0438cf58c5b2316f7503943c6d-34810841080733922797807136372588993831889175475012716365700078136725158474133.POLYMARKET,SELL,unknown,maker,0.97,6.1266601955936,0,,0,True,False,True,False,,,,,341.300015,2026-09-11T17:22:20.155808+00:00,,,
run_1789147039_23d7d189,BTC-15M-TAKER-EXIT-1789147680436,btc-updown-15m-1789146900,False,False,0xea69cf414ae8f417f3a8263be5302e2c3c06ce0438cf58c5b2316f7503943c6d-34810841080733922797807136372588993831889175475012716365700078136725158474133.POLYMARKET,SELL,unknown,other,0.01,6.12666,6.12666,0.02,1,False,True,False,False,1.0,,-0.01,,,2026-09-11T17:28:00.439887+00:00,2026-09-11T17:28:02.894655+00:00,endgame_twap_stop_loss,-3.92123531885184
run_1789386194_d77f7168,BTC-15M-FAST-FOLLOW-BUY-1789387534018,btc-updown-15m-1789387200,False,False,0xbeeeef6e1c902dab3c4bfec5858329ebd5f8ae9c4f16a3892c206dd2d8343b0c-28142513493480015907349831123097365123818203354363375047723451850330617413649.POLYMARKET,BUY,outcome_fast_follow,fast_follow,0.84,5.5,5.634147,0.82,1,True,True,False,False,1.0,-0.020000000000000018,,4.494928,,2026-09-14T12:05:34.072674+00:00,2026-09-14T12:05:38.567602+00:00,outcome_then_twap_confirmed,
run_1789386194_d77f7168,BTC-15M-MAKER-SELL-1789387552647,btc-updown-15m-1789387200,False,False,0xbeeeef6e1c902dab3c4bfec5858329ebd5f8ae9c4f16a3892c206dd2d8343b0c-28142513493480015907349831123097365123818203354363375047723451850330617413649.POLYMARKET,SELL,unknown,maker,0.97,5.5742717930016,5.574272,0.9699999999999999,1,True,True,False,False,1.0,,1.1102230246251565e-16,386.644155,,2026-09-14T12:05:52.672589+00:00,2026-09-14T12:12:19.316744+00:00,,0.83614076895024
run_1789386194_d77f7168,BTC-15M-FAST-FOLLOW-BUY-1789389347375,btc-updown-15m-1789389000,False,False,0x4a705f76a1e3da272328159dd02dd9139bcd81ac8f2eabd8df37f2788d972cbc-104277754570978136352681416309548182378348060265478477642660600317871203385435.POLYMARKET,BUY,outcome_fast_follow,fast_follow,0.88,5.5,5.7619,0.8399999999999999,1,True,True,False,False,1.0,-0.04000000000000015,,2.374067,,2026-09-14T12:35:47.401361+00:00,2026-09-14T12:35:49.775428+00:00,outcome_then_twap_confirmed,
run_1789386194_d77f7168,BTC-15M-MAKER-SELL-1789389361665,btc-updown-15m-1789389000,False,False,0x4a705f76a1e3da272328159dd02dd9139bcd81ac8f2eabd8df37f2788d972cbc-104277754570978136352681416309548182378348060265478477642660600317871203385435.POLYMARKET,SELL,unknown,maker,0.97,5.70614324608,5.706143,0.97,1,True,True,False,True,0.9999999568745492,,0.0,315.337682,,2026-09-14T12:36:01.674232+00:00,2026-09-14T12:41:17.011914+00:00,,0.74179859
run_1789393085_ddd3969a,BTC-15M-FAST-FOLLOW-BUY-1789393792695,btc-updown-15m-1789393500,False,False,0xf3a63685956cb9b475d7da356c4b4c5cbb5b47fcbca19506abd966f81e451aee-3323273178368495948369674933105559380876988467887209861110557388717251332010.POLYMARKET,BUY,outcome_fast_follow,fast_follow,0.9,5.5,0,,0,True,False,False,False,,,,,,2026-09-14T13:49:52.741534+00:00,,outcome_then_twap_confirmed,
