liquidity_regime,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade
high,25,25,,0.56,0.7164259403447774,0.7164259403447774,-0.1564259403447774,-53.78820370682132,2.5,-56.288203706821314,-2.2515281482728526,-0.22515281482728525,0.493355502188827,80.36198321862238,3,3.91512830665562,-10.1,-10.1,-10.1,-10.1,-10.1
low,24,24,,1.0,0.7772131593433057,0.7772131593433057,0.22278684065669432,72.53026350155918,2.4000000000000004,70.13026350155917,2.922094312564966,0.29220943125649657,inf,0.0,0,2.922094312564966,,0.9889111070747486,0.6324185731044963,0.37327921186375834,0.37327921186375834
medium,24,24,,0.75,0.7532917564271121,0.7532917564271121,-0.0032917564271120747,-4.659448719091598,2.4000000000000004,-7.059448719091597,-0.29414369662881656,-0.02941436966288165,0.8835074468796767,26.652383527490237,2,2.974475071161578,-10.1,-10.1,-10.1,-10.1,-10.1
