entry_price,lower,upper,n,trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,net_pnl,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,no_trades,fee_estimate,pnl_per_trade
0.5-0.55,0.5,0.55,0,0,,,,,0.0,0.0,,,,0,,,,,,,,,
0.55-0.6,0.55,0.6,2,2,0.5,0.5778670496306899,0.5778670496306899,-0.07786704963068986,-2.729648504136783,-2.9296485041367823,-0.14648242520683913,0.7099357916696255,10.1,1,7.170351495863217,-10.1,-10.1,-10.1,-10.1,-10.1,,0.2,-1.4648242520683912
0.6-0.65,0.6,0.65,8,8,0.75,0.6320324167859763,0.6320324167859763,0.11796758321402369,13.690423140737087,12.89042314073709,0.16113028925921363,1.63813975944243,14.489846999377953,1,5.515070523456181,-10.1,-10.1,-10.1,-10.1,-10.1,,0.8,1.6113028925921362
0.65-0.7,0.65,0.7,9,9,0.6666666666666666,0.6777451600280224,0.6777451600280224,-0.011078493361355789,-2.3925264413589034,-3.2925264413589,-0.03658362712621,0.8913357610112574,30.299999999999997,3,4.50124559310685,-10.1,-10.1,-10.1,-10.1,-10.1,,0.9,-0.3658362712621
0.7-0.75,0.7,0.75,16,16,0.8125,0.725849745439532,0.725849745439532,0.0866502545604681,19.119978792338244,17.519978792338247,0.10949986745211404,1.5782171218593481,16.614124594844114,1,3.678459907102942,-10.1,-10.1,-10.1,-10.1,-10.1,,1.6,1.0949986745211404
0.75-0.8,0.75,0.8,17,17,0.7058823529411765,0.7766048637114994,0.7766048637114994,-0.07072251077032288,-15.253493513500525,-16.953493513500526,-0.09972643243235603,0.6642872571584054,33.97340682832747,2,2.7955422072082894,-10.1,-10.1,-10.1,-10.1,-10.1,,1.7000000000000002,-0.9972643243235603
0.8-0.85,0.8,0.85,12,12,0.9166666666666666,0.8224436492770548,0.8224436492770548,0.09422301738961185,13.60782943963054,12.40782943963054,0.10339857866358783,2.2284979643198555,10.1,1,2.0461663126936855,-10.1,1.6647063613479633,-10.1,-10.1,-10.1,,1.2000000000000002,1.0339857866358784
0.85-0.9,0.85,0.9,4,4,0.75,0.8666677520811034,0.8666677520811034,-0.11666775208110333,-5.339159423478117,-5.739159423478117,-0.14347898558695293,0.4317663937150379,10.1,1,1.4536135255072942,-10.1,-10.1,-10.1,-10.1,-10.1,,0.4,-1.4347898558695293
0.9-1,0.9,1.0,4,4,1.0,0.9226304153504301,0.9226304153504301,0.07736958464956983,3.379207585414715,2.979207585414715,0.07448018963536787,inf,0.0,0,0.7448018963536788,,0.37327921186375834,0.37327921186375834,0.37327921186375834,0.37327921186375834,,0.4,0.7448018963536788
