observation_sec,threshold_bps,entry_delay_sec,execution_model,slippage_cents,partition,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,markets_with_valid_btc,signal_markets,no_trade_markets,no_fill_markets,bootstrap_mean_pnl_low,bootstrap_mean_pnl_high,method_note
60,0,0,first_trade,0,all,181,181,,0.6740331491712708,0.5936698173386741,0.5936698173386741,0.08036333183259668,272.7919447000102,18.1,254.69194470001025,1.4071378160221562,0.14071378160221562,1.427407190300403,66.63014707485004,5,6.972065120491887,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,3,0.19806116443446503,2.594333652645274,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,first_trade,0,development,117,117,,0.7008547008547008,0.5991546457820512,0.5991546457820512,0.10170005507264956,222.33642565281954,11.700000000000001,210.63642565281958,1.8003113303659792,0.18003113303659793,1.5958597613941146,66.63014707485004,5,6.879712507961214,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,1,0.3555498909280618,3.1387149323640875,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,first_trade,0,holdout,64,64,,0.625,0.583642865340625,0.583642865340625,0.041357134659374996,50.45551904719066,6.4,44.055519047190685,0.6883674851123545,0.06883674851123545,1.1817471907887407,58.2,3,7.161387976179767,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,2,-1.4711920125224633,3.0233605429678128,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,first_trade,0.01,all,181,181,,0.6740331491712708,0.6036698173386741,0.6036698173386741,0.07036333183259666,237.04129782024333,18.1,218.94129782024336,1.209620429946096,0.1209620429946096,1.3674128172851876,67.28354969659628,5,6.6790270313134705,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,3,0.028659268922234898,2.374148049377409,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,first_trade,0.01,development,117,117,,0.7008547008547008,0.6091546457820513,0.6091546457820513,0.09170005507264956,198.50087024780797,11.700000000000001,186.80087024780798,1.5965886345966496,0.15965886345966493,1.5284324476599944,67.28354969659628,5,6.589035003022048,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,1,0.1769557322296839,2.9112098845129357,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,first_trade,0.01,holdout,64,64,,0.625,0.593642865340625,0.593642865340625,0.03135713465937499,38.54042757243536,6.4,32.140427572435385,0.5021941808193029,0.05021941808193029,1.132592522988595,58.35432098765433,3,6.863510689310885,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,2,-1.6162996140479657,2.7944862320429227,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,first_trade,0.02,all,181,181,,0.6740331491712708,0.6136698173386741,0.6136698173386741,0.060363331832596664,202.52626077534575,18.1,184.42626077534578,1.0189296175433469,0.10189296175433468,1.3094919630396809,67.91792747168398,5,6.396116891601195,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,3,-0.1351987009942867,2.1616644172590336,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,first_trade,0.02,development,117,117,,0.7008547008547008,0.6191546457820513,0.6191546457820513,0.08170005507264955,175.49028595622104,11.700000000000001,163.79028595622108,1.3999169739847956,0.13999169739847955,1.463338857019013,67.91792747168398,5,6.30841812141733,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,1,0.007685767698087243,2.691549786111056,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,first_trade,0.02,holdout,64,64,,0.625,0.6036428653406251,0.6036428653406251,0.021357134659374978,27.035974819124686,6.4,20.635974819124705,0.3224371065488235,0.03224371065488235,1.0851319093198215,58.5048780487805,3,6.575899370478117,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,2,-1.7565252241805245,2.573598140686765,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,vwap_10s,0,all,175,175,,0.6742857142857143,0.5948040156465402,0.5948040156465402,0.0794816986391741,248.74140068702573,17.5,231.2414006870258,1.32137943249729,0.13213794324972902,1.4016699681900744,66.4803538913036,5,6.838486446500219,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,9,0.05545907383064938,2.5022350492730707,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,0,vwap_10s,0,development,113,113,,0.6991150442477876,0.5965702026906813,0.5965702026906813,0.10254484155710633,206.4355489200315,11.3,195.13554892003154,1.72686326477904,0.17268632647790402,1.568245628771204,66.4803538913036,5,6.816905682532044,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,5,0.24229600606833762,3.087638760007894,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
