observation_sec,threshold_bps,entry_delay_sec,execution_model,slippage_cents,partition,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,fee_scenario
60,0,0,first_trade,0,all,181,181,,0.6740331491712708,0.5936698173386741,0.5936698173386741,0.08036333183259668,272.7919447000102,18.1,272.7919447000102,1.5071378160221558,0.1507137816022156,1.462359228305102,65.5301470748501,5,7.072065120491887,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,first_trade,0,development,117,117,,0.7008547008547008,0.5991546457820512,0.5991546457820512,0.10170005507264956,222.33642565281954,11.700000000000001,222.33642565281954,1.9003113303659789,0.1900311330365979,1.6352469304366273,65.5301470748501,5,6.979712507961214,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,first_trade,0,holdout,64,64,,0.625,0.583642865340625,0.583642865340625,0.041357134659374996,50.45551904719066,6.4,50.45551904719066,0.7883674851123541,0.07883674851123541,1.2102313293632945,57.5,3,7.261387976179766,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,first_trade,0.01,all,181,181,,0.6740331491712708,0.6036698173386741,0.6036698173386741,0.07036333183259666,237.04129782024333,18.1,237.04129782024333,1.3096204299460956,0.13096204299460956,1.4017649115597346,66.18354969659634,5,6.77902703131347,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,first_trade,0.01,development,117,117,,0.7008547008547008,0.6091546457820513,0.6091546457820513,0.09170005507264956,198.50087024780797,11.700000000000001,198.50087024780797,1.6965886345966492,0.16965886345966494,1.5671453435651654,66.18354969659634,5,6.689035003022048,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,first_trade,0.01,holdout,64,64,,0.625,0.593642865340625,0.593642865340625,0.03135713465937499,38.54042757243536,6.4,38.54042757243536,0.6021941808193025,0.06021941808193025,1.1605851148851474,57.65432098765432,3,6.963510689310884,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,first_trade,0.02,all,181,181,,0.6740331491712708,0.6136698173386741,0.6136698173386741,0.060363331832596664,202.52626077534575,18.1,202.52626077534575,1.1189296175433465,0.11189296175433466,1.3432648487717724,66.81792747168402,5,6.496116891601194,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,first_trade,0.02,development,117,117,,0.7008547008547008,0.6191546457820513,0.6191546457820513,0.08170005507264955,175.49028595622104,11.700000000000001,175.49028595622104,1.4999169739847953,0.14999169739847953,1.5014008170177746,66.81792747168402,5,6.40841812141733,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,first_trade,0.02,holdout,64,64,,0.625,0.6036428653406251,0.6036428653406251,0.021357134659374978,27.035974819124686,6.4,27.035974819124686,0.4224371065488232,0.04224371065488232,1.1126498950796864,57.80487804878049,3,6.675899370478117,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0,all,163,163,,0.6748466257668712,0.5979968236194715,0.5979968236194715,0.07684980214739974,225.49131763927895,16.3,225.49131763927895,1.3833823168053923,0.13833823168053924,1.4254553163005264,65.48756017839463,5,6.868102887629808,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0,development,110,110,,0.7090909090909091,0.5989374048273203,0.5989374048273203,0.11015350426358879,218.90882892512442,11.0,218.90882892512442,1.9900802629556766,0.19900802629556766,1.6840900903910139,65.48756017839463,5,6.909087550322108,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0,holdout,53,53,,0.6037735849056604,0.5960446739428039,0.5960446739428039,0.0077289109628564156,6.582488714154522,5.300000000000001,6.582488714154522,0.12419790026706645,0.012419790026706646,1.0313451843531167,62.795633194141644,4,6.768202772317329,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0.01,all,163,163,,0.6748466257668712,0.6079968236194715,0.6079968236194715,0.06684980214739973,193.98008628197158,16.3,193.98008628197158,1.1900618790305004,0.11900618790305005,1.3660001627961729,66.14275383901276,5,6.581637148017923,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0.01,development,110,110,,0.7090909090909091,0.6089374048273203,0.6089374048273203,0.10015350426358878,196.41615322880313,11.0,196.41615322880313,1.7856013929891195,0.17856013929891193,1.61380047884001,66.14275383901276,5,6.620719913189784,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0.01,holdout,53,53,,0.6037735849056604,0.6060446739428039,0.6060446739428039,-0.002271089037143593,-2.4360669468315628,5.300000000000001,-2.4360669468315628,-0.04596352729870873,-0.0045963527298708735,0.988399681205564,65.28500308442659,4,6.486372907911513,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0.02,all,163,163,,0.6748466257668712,0.6179968236194715,0.6179968236194715,0.056849802147399715,163.54779327378645,16.3,163.54779327378645,1.0033606949312053,0.10033606949312053,1.3085807420260123,67.69504558874903,5,6.304979938852604,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0.02,development,110,110,,0.7090909090909091,0.6189374048273203,0.6189374048273203,0.09015350426358877,174.69886363829121,11.0,174.69886363829121,1.5881714876208293,0.15881714876208292,1.54593394886966,66.77881999127752,5,6.342293123567836,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_5s,0.02,holdout,53,53,,0.6037735849056604,0.6160446739428039,0.6160446739428039,-0.0122710890371436,-11.151070364504744,5.300000000000001,-11.151070364504744,-0.21039755404725932,-0.02103975540472593,0.9468996649309298,67.69504558874904,4,6.214029051109227,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0,all,175,175,,0.6742857142857143,0.5948040156465402,0.5948040156465402,0.0794816986391741,248.74140068702573,17.5,248.74140068702573,1.42137943249729,0.14213794324972898,1.4363884222579397,65.38035389130366,5,6.938486446500218,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0,development,113,113,,0.6991150442477876,0.5965702026906813,0.5965702026906813,0.10254484155710633,206.4355489200315,11.3,206.4355489200315,1.8268632647790397,0.18268632647790398,1.6071633791765632,65.38035389130366,5,6.916905682532044,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0,holdout,62,62,,0.6290322580645161,0.591584997324154,0.591584997324154,0.03744726074036214,42.30585176699423,6.2,42.30585176699423,0.6823524478547456,0.06823524478547456,1.1839384859434532,57.610541843971625,3,6.982201327358826,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0.01,all,175,175,,0.6742857142857143,0.6048040156465402,0.6048040156465402,0.0694816986391741,214.67859846003375,17.5,214.67859846003375,1.22673484834305,0.122673484834305,1.3766291201053225,66.03905176889259,5,6.649818631017236,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0.01,development,113,113,,0.6991150442477876,0.6065702026906813,0.6065702026906813,0.09254484155710634,183.64245512730238,11.3,183.64245512730238,1.6251544701531184,0.16251544701531184,1.5401248680214774,66.03905176889259,5,6.6283855079405365,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0.01,holdout,62,62,,0.6290322580645161,0.601584997324154,0.601584997324154,0.02744726074036213,31.036143332731385,6.2,31.036143332731385,0.5005829569795385,0.05005829569795384,1.1349397536205712,57.762162025477224,3,6.6932344444290095,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0.02,all,175,175,,0.6742857142857143,0.6148040156465402,0.6148040156465402,0.05948169863917409,181.78458797027514,17.5,181.78458797027514,1.038769074115858,0.1038769074115858,1.3189203297724124,66.67845395139562,5,6.3710558302565685,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0.02,development,113,113,,0.6991150442477876,0.6165702026906813,0.6165702026906813,0.08254484155710633,161.63440013941866,11.3,161.63440013941866,1.4303929215877755,0.1430392921587776,1.4753952945277018,66.67845395139562,5,6.3498025334103625,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,0,vwap_10s,0.02,holdout,62,62,,0.6290322580645161,0.6115849973241541,0.6115849973241541,0.01744726074036212,20.150187830856485,6.2,20.150187830856485,0.3250030295299433,0.03250030295299433,1.0876095123080716,57.91011606618998,3,6.414107380278371,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,5,first_trade,0,all,181,181,,0.6740331491712708,0.5918797106745857,0.5918797106745857,0.08215343849668508,267.1961871135374,18.1,267.1961871135374,1.4762220282515877,0.14762220282515878,1.452874893412775,65.065723814872,5,7.026198255028995,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,5,first_trade,0,development,117,117,,0.7008547008547008,0.595314943934188,0.595314943934188,0.10553975692051282,222.61472376588378,11.700000000000001,222.61472376588378,1.9026899467169556,0.19026899467169553,1.6360420679025252,65.065723814872,5,6.983106387388827,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,5,first_trade,0,holdout,64,64,,0.625,0.585599674871875,0.585599674871875,0.039400325128125004,44.58146334765359,6.4,44.58146334765359,0.6965853648070873,0.06965853648070873,1.18575609728189,57.65431999999992,3,7.11453658369134,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
60,0,5,first_trade,0.01,all,181,181,,0.6740331491712708,0.6018797106745857,0.6018797106745857,0.07215343849668508,231.63517194566117,18.1,231.63517194566117,1.2797523311914982,0.12797523311914982,1.3926019863485781,65.73757951819923,5,6.7347145241447635,-10.0,-10.0,-10.0,-10.0,-10.0,zero fees
