group,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade
00-06,16,16,,0.8125,0.7371295417822222,0.7371295417822222,0.07537045821777774,17.041154278855366,1.6,15.441154278855368,0.9650721424284605,0.09650721424284606,1.5096090521074381,20.2,2,3.5185503291427205,-10.1,-10.1,-10.1,-10.1,-10.1
06-12,22,22,,0.6818181818181818,0.7441530774282407,0.7441530774282407,-0.06233489561005887,-16.767028119112524,2.2,-18.96702811911252,-0.8621376417778419,-0.08621376417778417,0.7317252034071778,48.59985121507674,2,3.448864792059165,-10.1,-10.1,-10.1,-10.1,-10.1
12-18,14,14,,0.8571428571428571,0.749885666654541,0.749885666654541,0.1072571904883161,14.51569455010322,1.4000000000000001,13.115694550103221,0.9368353250073729,0.0936835325007373,1.6492918094110505,10.1,1,2.7763078791752682,-10.1,-10.1,-10.1,-10.1,-10.1
18-24,21,21,,0.7619047619047619,0.7609012753337635,0.7609012753337635,0.0010034865709983628,-0.7072096341998009,2.1,-2.807209634199799,-0.13367664924760947,-0.013367664924760948,0.9444116904118851,24.980205961954788,1,2.9807993978625125,-10.1,-10.1,-10.1,-10.1,-10.1
