weekday_weekend,et_hour_block,time_to_resolution_bin,n_market_segments,trade_count_mean,trade_count_p10,trade_count_p95,volume_shares_mean,volume_shares_p10,volume_shares_p95,volume_usdc_estimate_mean,volume_usdc_estimate_p10,volume_usdc_estimate_p95,median_trade_size_mean,median_trade_size_p10,median_trade_size_p95,max_no_trade_interval_sec_mean,max_no_trade_interval_sec_p10,max_no_trade_interval_sec_p95,price_jump_count_5c_mean,price_jump_count_5c_p10,price_jump_count_5c_p95
weekend,06-12,T-15s_to_settlement,25,4.76,0.0,15.0,256.18041288,0.0,1518.342004,178.2024721581103,0.0,1061.861208,34.63185714285714,1.25,117.24,11.84,6.0,15.0,0.88,0.0,2.0
weekend,06-12,T-2m_to_T-1m,25,70.88,9.0,196.0,2637.54145184,211.76000000000002,8738.129789,1268.4857119182639,63.63466,2885.609725005024,13.8530906875,5.0,20.202,14.32,5.0,29.0,16.56,0.0,47.0
weekend,06-12,T-30s_to_T-15s,25,11.16,0.0,36.0,465.1114052,0.0,1561.744,333.8505902811129,0.0,1088.469307993571,87.76773985714286,6.0,425.43,10.48,2.0,15.0,2.32,0.0,8.0
weekend,06-12,T-5m_to_T-2m,25,179.72,60.0,342.0,4785.98219636,2020.291165,8934.744579,2856.4103966324024,1396.101154,4758.119641941953,10.61886312,5.26314,20.3152565,14.0,6.0,24.0,49.6,16.0,103.0
weekend,06-12,T-60s_to_T-30s,25,41.92,1.0,117.0,1081.07462656,92.12,3011.189339,695.0033387180777,91.29092,1655.202869987148,38.97423632,6.245,101.78,10.92,2.0,27.0,9.0,0.0,29.0
weekend,12-18,T-10m_to_T-5m,25,262.56,130.0,386.0,5682.701323,3325.475864,9097.245704,2879.998283916954,1408.7370670028085,4628.6711869452665,8.1444648125,5.8,11.110555999999999,23.8,6.0,22.0,86.0,47.0,129.0
weekend,12-18,T-15m_to_T-10m,25,251.92,120.0,374.0,5533.54557436,2652.730857,8550.508165,2691.349297005846,1277.6932979903577,4600.866564994237,9.160051354166667,6.23611,13.924241,28.96,9.0,31.0,75.36,27.0,133.0
weekend,12-18,T-15s_to_settlement,25,5.4,0.0,19.0,232.27973451999998,0.0,900.582268,161.17925576038462,0.0,439.5885989978949,29.91737116666667,1.26,44.0,10.88,6.0,15.0,1.12,0.0,7.0
weekend,12-18,T-2m_to_T-1m,25,66.56,1.0,128.0,1717.28693468,10.0,4242.549392,970.5405486370217,9.99,2065.359563994418,7.996797869565217,5.0765,10.5263,13.16,3.0,45.0,19.48,0.0,47.0
weekend,12-18,T-30s_to_T-15s,25,16.56,0.0,63.0,633.32982492,0.0,1725.6202,381.7801718016403,0.0,1560.4254630010846,53.072744117647055,3.5,129.0,9.04,2.0,15.0,3.6,0.0,13.0
weekend,12-18,T-5m_to_T-2m,25,194.52,54.0,336.0,5017.88019704,2430.512273,8355.975934,2613.4616433238966,1295.0583039963458,3895.0048889882323,9.532312875,5.851763,12.592589,19.0,6.0,22.0,53.56,21.0,87.0
weekend,12-18,T-60s_to_T-30s,25,44.56,0.0,119.0,1276.90729076,0.0,3534.218601,716.4563244020724,0.0,1822.5660590115037,18.052201404761906,4.42,68.4,12.96,2.0,30.0,10.84,0.0,34.0
weekend,18-24,T-10m_to_T-5m,25,381.52,213.0,525.0,13374.4932546,4484.918729,13271.694901,6764.855358908042,2292.802026016674,7321.54726203177,8.71068322,5.208325,13.0,13.64,6.0,24.0,97.0,47.0,152.0
weekend,18-24,T-15m_to_T-10m,25,271.28,165.0,428.0,6281.37428584,2738.013681,11053.963328,3123.809018919123,1394.7628970081464,5387.83703296555,8.15797252,6.0,10.0,17.4,9.0,29.0,82.0,40.0,145.0
weekend,18-24,T-15s_to_settlement,25,5.6,0.0,15.0,208.7385342,0.0,1000.0,144.73802848142873,0.0,767.1289260095659,165.2326923076923,1.2,1000.0,11.6,5.0,15.0,1.24,0.0,4.0
weekend,18-24,T-2m_to_T-1m,25,76.6,1.0,185.0,2360.57992404,10.98,6715.160377,1342.8230490008718,10.96902,4043.88681300529,17.4509446875,6.0,31.46,22.32,4.0,53.0,15.68,0.0,52.0
weekend,18-24,T-30s_to_T-15s,25,16.28,0.0,40.0,487.0446848,0.0,1508.058742,264.2886245193153,0.0,1381.270877998376,171.57063571428571,4.1237,1000.0,9.72,2.0,15.0,2.08,0.0,8.0
weekend,18-24,T-5m_to_T-2m,25,196.84,81.0,464.0,7550.90364672,3264.141766,15503.400172,4163.3050469622085,1856.8539269490223,7678.014366995658,11.8102267,5.906975,16.27,21.76,6.0,53.0,47.12,12.0,100.0
weekend,18-24,T-60s_to_T-30s,25,44.52,0.0,147.0,2151.5647874,0.0,7859.93735,1209.6420173226375,0.0,4248.1578789784235,346.9889816944444,4.69,750.0,17.4,3.0,30.0,7.52,0.0,25.0
