slug,local_date,week,weekday_weekend,et_hour_block,winner,signal_family,side,observation_sec,entry_price,entry_status,notional,gross_pnl,fee_usdc,net_pnl
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,always_down,DOWN,180,0.473513483623098,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,random_side,DOWN,180,0.473513483623098,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_continuation_60s,DOWN,180,0.473513483623098,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,always_up,UP,180,0.6253834058618586,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,always_down,DOWN,180,0.3746808510638298,proxy_trade_print,10.0,16.68938103350369,0.1,16.589381033503688
btc-updown-15m-1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,random_side,DOWN,180,0.3746808510638298,proxy_trade_print,10.0,16.68938103350369,0.1,16.589381033503688
btc-updown-15m-1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,polymarket_leader,UP,180,0.6253834058618586,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,btc_trend_180s,UP,180,0.6253834058618586,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,btc_ema_1m_3m,UP,180,0.6253834058618586,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,btc_continuation_60s,UP,180,0.6253834058618586,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,btc_continuation_120s,UP,180,0.6253834058618586,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785243600,2026-07-28,2026-07-27,weekday,06-12,DOWN,always_down,DOWN,180,0.64,proxy_trade_print,10.0,5.625,0.1,5.525
btc-updown-15m-1785243600,2026-07-28,2026-07-27,weekday,06-12,DOWN,polymarket_leader,DOWN,180,0.64,proxy_trade_print,10.0,5.625,0.1,5.525
btc-updown-15m-1785243600,2026-07-28,2026-07-27,weekday,06-12,DOWN,btc_trend_180s,DOWN,180,0.64,proxy_trade_print,10.0,5.625,0.1,5.525
btc-updown-15m-1785243600,2026-07-28,2026-07-27,weekday,06-12,DOWN,btc_ema_1m_3m,DOWN,180,0.64,proxy_trade_print,10.0,5.625,0.1,5.525
btc-updown-15m-1785243600,2026-07-28,2026-07-27,weekday,06-12,DOWN,btc_continuation_60s,DOWN,180,0.64,proxy_trade_print,10.0,5.625,0.1,5.525
btc-updown-15m-1785243600,2026-07-28,2026-07-27,weekday,06-12,DOWN,btc_continuation_120s,DOWN,180,0.64,proxy_trade_print,10.0,5.625,0.1,5.525
btc-updown-15m-1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,always_up,UP,180,0.9021526422945494,proxy_trade_print,10.0,1.0845986933717118,0.1,0.9845986933717118
btc-updown-15m-1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,always_down,DOWN,180,0.08999999999999998,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,random_side,DOWN,180,0.08999999999999998,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,polymarket_leader,UP,180,0.9021526422945494,proxy_trade_print,10.0,1.0845986933717118,0.1,0.9845986933717118
btc-updown-15m-1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,btc_trend_180s,UP,180,0.9021526422945494,proxy_trade_print,10.0,1.0845986933717118,0.1,0.9845986933717118
btc-updown-15m-1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,btc_ema_1m_3m,UP,180,0.9021526422945494,proxy_trade_print,10.0,1.0845986933717118,0.1,0.9845986933717118
btc-updown-15m-1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,btc_continuation_60s,UP,180,0.9021526422945494,proxy_trade_print,10.0,1.0845986933717118,0.1,0.9845986933717118
btc-updown-15m-1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,btc_continuation_120s,UP,180,0.9021526422945494,proxy_trade_print,10.0,1.0845986933717118,0.1,0.9845986933717118
btc-updown-15m-1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,always_up,UP,180,0.629058149058149,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,always_down,DOWN,180,0.35,proxy_trade_print,10.0,18.571428571428573,0.1,18.47142857142857
btc-updown-15m-1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,random_side,DOWN,180,0.35,proxy_trade_print,10.0,18.571428571428573,0.1,18.47142857142857
btc-updown-15m-1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,polymarket_leader,UP,180,0.629058149058149,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,btc_trend_180s,UP,180,0.629058149058149,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,btc_ema_1m_3m,UP,180,0.629058149058149,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,btc_continuation_60s,UP,180,0.629058149058149,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,btc_continuation_120s,UP,180,0.629058149058149,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,always_up,UP,180,0.6032434278823587,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,always_down,DOWN,180,0.3899999446,proxy_trade_print,10.0,15.641029283366723,0.1,15.541029283366724
btc-updown-15m-1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,random_side,DOWN,180,0.3899999446,proxy_trade_print,10.0,15.641029283366723,0.1,15.541029283366724
btc-updown-15m-1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,polymarket_leader,UP,180,0.6032434278823587,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,btc_trend_180s,UP,180,0.6032434278823587,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,btc_ema_1m_3m,UP,180,0.6032434278823587,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,btc_continuation_60s,DOWN,180,0.3899999446,proxy_trade_print,10.0,15.641029283366723,0.1,15.541029283366724
btc-updown-15m-1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,btc_continuation_120s,UP,180,0.6032434278823587,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,always_up,UP,180,0.7616524816730084,proxy_trade_print,10.0,3.1293473606683353,0.1,3.029347360668335
btc-updown-15m-1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,always_down,DOWN,180,0.23000000000000004,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,random_side,UP,180,0.7616524816730084,proxy_trade_print,10.0,3.1293473606683353,0.1,3.029347360668335
btc-updown-15m-1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,polymarket_leader,UP,180,0.7616524816730084,proxy_trade_print,10.0,3.1293473606683353,0.1,3.029347360668335
btc-updown-15m-1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,btc_trend_180s,UP,180,0.7616524816730084,proxy_trade_print,10.0,3.1293473606683353,0.1,3.029347360668335
btc-updown-15m-1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,btc_ema_1m_3m,UP,180,0.7616524816730084,proxy_trade_print,10.0,3.1293473606683353,0.1,3.029347360668335
btc-updown-15m-1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,btc_continuation_60s,UP,180,0.7616524816730084,proxy_trade_print,10.0,3.1293473606683353,0.1,3.029347360668335
btc-updown-15m-1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,btc_continuation_120s,UP,180,0.7616524816730084,proxy_trade_print,10.0,3.1293473606683353,0.1,3.029347360668335
btc-updown-15m-1785394800,2026-07-30,2026-07-27,weekday,00-06,UP,always_up,UP,180,0.9317564286078125,proxy_trade_print,10.0,0.7324185731044963,0.1,0.6324185731044963
btc-updown-15m-1785394800,2026-07-30,2026-07-27,weekday,00-06,UP,always_down,DOWN,180,0.07591715976331362,proxy_trade_print,10.0,-10.0,0.1,-10.1
