group,n_markets,trade_count_n,trade_count_mean,trade_count_p10,trade_count_p5,trade_count_p95,volume_shares_n,volume_shares_mean,volume_shares_p10,volume_shares_p5,volume_shares_p95,volume_usdc_estimate_n,volume_usdc_estimate_mean,volume_usdc_estimate_p10,volume_usdc_estimate_p5,volume_usdc_estimate_p95,median_trade_size_n,median_trade_size_mean,median_trade_size_p10,median_trade_size_p5,median_trade_size_p95,max_no_trade_interval_sec_n,max_no_trade_interval_sec_mean,max_no_trade_interval_sec_p10,max_no_trade_interval_sec_p5,max_no_trade_interval_sec_p95,trade_frequency_per_sec_n,trade_frequency_per_sec_mean,trade_frequency_per_sec_p10,trade_frequency_per_sec_p5,trade_frequency_per_sec_p95,trade_print_realized_volatility_n,trade_print_realized_volatility_mean,trade_print_realized_volatility_p10,trade_print_realized_volatility_p5,trade_print_realized_volatility_p95,price_jump_count_5c_n,price_jump_count_5c_mean,price_jump_count_5c_p10,price_jump_count_5c_p5,price_jump_count_5c_p95
weekday:00-06,25,25,808.24,486.0,434.0,1295.0,25,22082.88115164,13371.46965,10238.035703,32919.479388,25,11846.789724726681,6812.338179005276,6094.281549991025,17852.5996839918,24,9.030577229166667,6.840577,6.621211,11.2,25,85.88,15.0,15.0,92.0,25,0.8980444444444444,0.54,0.4822222222222222,1.4388888888888889,24,1.6317800527996238,0.420707089554084,0.29938699085567455,3.9850953456103735,25,10.2,2.0,0.0,19.0
weekday:06-12,25,25,1000.16,581.0,536.0,1422.0,25,27444.96781284,17276.946401,16538.662304,39522.703497,25,14776.712006361333,8625.94636903603,8274.663511976416,20480.483225998374,25,9.02486622,7.0,6.84,10.929783,25,34.8,15.0,12.0,73.0,25,1.1112888888888888,0.6455555555555555,0.5955555555555555,1.58,25,2.6107437894938648,0.3770150438043464,0.31111781808534805,5.3147892161646135,25,14.04,0.0,0.0,27.0
weekday:12-18,25,25,881.36,630.0,526.0,1319.0,25,24839.92904852,15941.333976,15193.620522,34825.219834999996,25,13032.069477997864,8762.850095989466,8360.88565900679,19035.95513800032,24,8.769813916666667,6.036141,6.0,10.6125,25,70.6,15.0,12.0,78.0,25,0.9792888888888889,0.7,0.5844444444444444,1.4655555555555555,24,1.5336852051710725,0.3770525781915527,0.32009152645733746,3.1345642677166645,25,13.44,2.0,2.0,34.0
weekday:18-24,25,25,1025.48,617.0,563.0,1394.0,25,34372.53971992,19621.420613,17695.379159,34116.96792,25,17444.25539510178,9374.994962053814,8868.842339979907,18776.554917009013,25,9.00444028,6.871666,6.633331999999999,12.820513,25,54.48,20.0,19.0,84.0,25,1.1394222222222223,0.6855555555555556,0.6255555555555555,1.548888888888889,25,1.6898376338653998,0.3474430226951394,0.314106029708869,3.6828991030564295,25,10.36,1.0,1.0,23.0
weekend:00-06,25,25,779.2,465.0,425.0,1488.0,25,19988.62005,11421.810934,11175.229563,32526.892417,25,10666.110971371125,6643.942637970314,6211.96787702747,15594.043355122021,25,8.37162872,5.8961755,5.879768,10.0,25,43.24,21.0,13.0,67.0,25,0.8657777777777778,0.5166666666666667,0.4722222222222222,1.6533333333333333,25,2.186651332051838,0.3942608518292114,0.34534150211394077,4.063296025956413,25,10.16,3.0,2.0,22.0
weekend:06-12,25,25,793.56,442.0,438.0,1243.0,25,20038.72798832,12271.638497,11894.7727,33960.051155,25,10925.521608616975,6659.723760028693,6631.032992964858,18005.378239829708,25,8.83941306,6.579936,6.17,10.4673905,25,31.48,17.0,15.0,57.0,25,0.8817333333333334,0.4911111111111111,0.4866666666666667,1.3811111111111112,25,1.7836781294960855,0.3601905651846766,0.2976920302529663,4.262954719199326,25,12.04,3.0,2.0,27.0
weekend:12-18,25,25,842.08,526.0,340.0,1201.0,25,20093.93087928,13698.804037,12065.245564,26475.296366,25,10414.765524847815,7742.574300964872,6381.303698094476,13184.58739893304,24,8.874936729166667,6.4686065,6.014491,11.152571,25,67.36,17.0,14.0,69.0,25,0.9356444444444445,0.5844444444444444,0.37777777777777777,1.3344444444444445,24,1.7601837131573708,0.40308026951857867,0.34380899440557267,3.6156990341478776,25,13.44,3.0,1.0,31.0
weekend:18-24,25,25,992.64,571.0,547.0,1400.0,25,32414.6991176,15460.393533999999,13892.036516,40175.430067,25,17013.461144113626,8229.179903065922,6609.394067951471,22092.940390153017,25,8.85163076,6.0,5.99,11.111112,25,48.16,17.0,14.0,87.0,25,1.1029333333333333,0.6344444444444445,0.6077777777777778,1.5555555555555556,25,1.6116831673123277,0.370514873306999,0.3040234095275015,3.328609451007311,25,14.44,3.0,2.0,36.0
