abs_trend_bps,lower,upper,n,trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,net_pnl,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,no_trades,fee_estimate,pnl_per_trade
0-2,0,2,0,0,,,,,0.0,0.0,,,,0,,,,,,,,,
2-5,2,5,0,0,,,,,0.0,0.0,,,,0,,,,,,,,,
5-10,5,10,39,39,0.7948717948717948,0.7201021244102782,0.7201021244102782,0.07476967046151663,38.13163836424459,34.231638364244596,0.08777343170319127,1.4236588906465915,19.407510861318887,1,3.7106980117498254,-10.1,-10.1,-10.1,-10.1,-10.1,,3.9000000000000004,0.8777343170319126
10-15,10,15,21,21,0.6666666666666666,0.7526616695396389,0.7526616695396389,-0.08599500287297217,-26.811168047742896,-28.911168047742894,-0.1376722287987757,0.5910725877264088,44.723248946190914,2,2.9849165680183645,-10.1,-10.1,-10.1,-10.1,-10.1,,2.1,-1.376722287987757
15-20,15,20,5,5,1.0,0.8206698236140145,0.8206698236140145,0.17933017638598547,11.601204890787237,11.101204890787237,0.22202409781574473,inf,0.0,0,2.2202409781574475,,0.6324185731044963,0.6324185731044963,0.6324185731044963,0.6324185731044963,,0.5,2.2202409781574475
20-1e+09,20,1000000000.0,8,8,0.75,0.8311924320882651,0.8311924320882651,-0.08119243208826504,-8.839064131642667,-9.639064131642666,-0.12048830164553333,0.5228186073444224,20.2,2,1.7601559780595555,-10.1,-10.1,-10.1,-10.1,-10.1,,0.8,-1.2048830164553332
