slug,weekday_weekend,week,et_hour_block,time_to_resolution_bin,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,max_no_trade_interval_sec,price_jump_count_5c
btc-updown-15m-1785913200,weekday,2026-08-03,00-06,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1785913200,weekday,2026-08-03,00-06,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785913200,weekday,2026-08-03,00-06,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785934800,weekday,2026-08-03,06-12,T-15m_to_T-10m,244,5290.668701,2760.296966027208,6.970000000000001,13.0,71
btc-updown-15m-1785934800,weekday,2026-08-03,06-12,T-10m_to_T-5m,235,6534.102603,2971.316222990413,8.77,11.0,79
btc-updown-15m-1785934800,weekday,2026-08-03,06-12,T-5m_to_T-2m,50,4521.94,1251.2359999999999,16.695,80.0,13
btc-updown-15m-1785934800,weekday,2026-08-03,06-12,T-2m_to_T-1m,2,21.96,2.1404,10.98,53.0,1
btc-updown-15m-1785934800,weekday,2026-08-03,06-12,T-60s_to_T-30s,5,169.991,149.861009,25.505,10.0,1
btc-updown-15m-1785934800,weekday,2026-08-03,06-12,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785934800,weekday,2026-08-03,06-12,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785978000,weekday,2026-08-03,18-24,T-15m_to_T-10m,315,6940.00763,3323.7452799754838,6.236362,19.0,90
btc-updown-15m-1785978000,weekday,2026-08-03,18-24,T-10m_to_T-5m,285,4674.492572,2114.9270620101975,5.952375,12.0,102
btc-updown-15m-1785978000,weekday,2026-08-03,18-24,T-5m_to_T-2m,233,5689.583127,2247.145381993965,13.333332,5.0,76
btc-updown-15m-1785978000,weekday,2026-08-03,18-24,T-2m_to_T-1m,35,1168.9956,543.7147639905,15.0,18.0,10
btc-updown-15m-1785978000,weekday,2026-08-03,18-24,T-60s_to_T-30s,14,738.9108,509.16429199942,14.36845,18.0,3
btc-updown-15m-1785978000,weekday,2026-08-03,18-24,T-30s_to_T-15s,2,812.168,8.0000000103408,406.084,13.0,0
btc-updown-15m-1785978000,weekday,2026-08-03,18-24,T-15s_to_settlement,2,170.0,122.14556,85.0,12.0,1
btc-updown-15m-1785999600,weekday,2026-08-03,00-06,T-15m_to_T-10m,223,6052.688885,2934.9678789925797,8.764703,8.0,91
btc-updown-15m-1785999600,weekday,2026-08-03,00-06,T-10m_to_T-5m,367,7508.167707,3793.5896739993823,6.125,9.0,96
btc-updown-15m-1785999600,weekday,2026-08-03,00-06,T-5m_to_T-2m,351,6608.46251,3354.6091199986718,6.894734,6.0,93
btc-updown-15m-1785999600,weekday,2026-08-03,00-06,T-2m_to_T-1m,87,1296.027553,926.0018909990797,5.23,5.0,20
btc-updown-15m-1785999600,weekday,2026-08-03,00-06,T-60s_to_T-30s,12,947.916,934.81484,9.3569,10.0,0
btc-updown-15m-1785999600,weekday,2026-08-03,00-06,T-30s_to_T-15s,6,141.335,140.965605,5.67,8.0,0
btc-updown-15m-1785999600,weekday,2026-08-03,00-06,T-15s_to_settlement,1,59.0,58.941,59.0,15.0,0
btc-updown-15m-1786021200,weekday,2026-08-03,06-12,T-15m_to_T-10m,483,9716.186738,4887.751995000742,6.944442,12.0,137
btc-updown-15m-1786021200,weekday,2026-08-03,06-12,T-10m_to_T-5m,296,14578.972722,8943.481585968677,14.0107,15.0,94
btc-updown-15m-1786021200,weekday,2026-08-03,06-12,T-5m_to_T-2m,33,3005.984651,749.4990249995116,11.32525,28.0,12
btc-updown-15m-1786021200,weekday,2026-08-03,06-12,T-2m_to_T-1m,6,2154.049,2151.310529,431.655,30.0,0
btc-updown-15m-1786021200,weekday,2026-08-03,06-12,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1786021200,weekday,2026-08-03,06-12,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786021200,weekday,2026-08-03,06-12,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786107600,weekday,2026-08-03,06-12,T-15m_to_T-10m,392,7985.805732,4008.549737997435,6.285,6.0,119
btc-updown-15m-1786107600,weekday,2026-08-03,06-12,T-10m_to_T-5m,340,7958.000706,4382.144266986411,10.0,9.0,111
btc-updown-15m-1786107600,weekday,2026-08-03,06-12,T-5m_to_T-2m,166,4721.749608,3147.2247020027376,8.026315,17.0,56
btc-updown-15m-1786107600,weekday,2026-08-03,06-12,T-2m_to_T-1m,32,2072.036152,1245.9722460017017,11.616150000000001,8.0,11
btc-updown-15m-1786107600,weekday,2026-08-03,06-12,T-60s_to_T-30s,4,3473.9900000000002,3467.48601014498,119.595,17.0,0
btc-updown-15m-1786107600,weekday,2026-08-03,06-12,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786107600,weekday,2026-08-03,06-12,T-15s_to_settlement,1,24.85,24.82515,24.85,9.0,0
btc-updown-15m-1786129200,weekday,2026-08-03,12-18,T-15m_to_T-10m,344,13351.896825,6532.335904983271,12.0,10.0,126
btc-updown-15m-1786129200,weekday,2026-08-03,12-18,T-10m_to_T-5m,147,5572.996915,3560.2533499863925,10.0,24.0,46
btc-updown-15m-1786129200,weekday,2026-08-03,12-18,T-5m_to_T-2m,16,1204.29,63.542079999944,9.205,78.0,5
btc-updown-15m-1786129200,weekday,2026-08-03,12-18,T-2m_to_T-1m,17,989.588,988.247583998791,24.0,30.0,0
btc-updown-15m-1786129200,weekday,2026-08-03,12-18,T-60s_to_T-30s,2,1144.5,1143.3555,572.25,27.0,0
btc-updown-15m-1786129200,weekday,2026-08-03,12-18,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786129200,weekday,2026-08-03,12-18,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786150800,weekday,2026-08-03,18-24,T-15m_to_T-10m,152,4460.816173,2168.7298099652276,7.0,15.0,54
btc-updown-15m-1786150800,weekday,2026-08-03,18-24,T-10m_to_T-5m,343,11714.432685,6100.495645958107,7.130433,9.0,96
btc-updown-15m-1786150800,weekday,2026-08-03,18-24,T-5m_to_T-2m,243,5750.976,2716.6864489894924,7.36,6.0,58
btc-updown-15m-1786150800,weekday,2026-08-03,18-24,T-2m_to_T-1m,36,2031.0052640000001,1900.6817969989354,3.0612,11.0,4
btc-updown-15m-1786150800,weekday,2026-08-03,18-24,T-60s_to_T-30s,3,631.058,126.034882,118.998,13.0,1
btc-updown-15m-1786150800,weekday,2026-08-03,18-24,T-30s_to_T-15s,2,34.03,33.99597,17.015,10.0,0
btc-updown-15m-1786150800,weekday,2026-08-03,18-24,T-15s_to_settlement,1,150.0,0.15,150.0,8.0,0
btc-updown-15m-1786167000,weekend,2026-08-03,00-06,T-15m_to_T-10m,240,5851.527725,2865.931765035292,8.521738,21.0,54
btc-updown-15m-1786167000,weekend,2026-08-03,00-06,T-10m_to_T-5m,93,2029.115452,1005.1311639875216,11.0,14.0,22
btc-updown-15m-1786167000,weekend,2026-08-03,00-06,T-5m_to_T-2m,182,5137.6465,2418.1765099939257,8.0,6.0,80
btc-updown-15m-1786167000,weekend,2026-08-03,00-06,T-2m_to_T-1m,69,3828.360139,3018.176917052605,5.053757,5.0,27
btc-updown-15m-1786167000,weekend,2026-08-03,00-06,T-60s_to_T-30s,26,547.764325,285.30233799871905,8.881662500000001,6.0,8
btc-updown-15m-1786167000,weekend,2026-08-03,00-06,T-30s_to_T-15s,6,180.1303,153.777997,10.05,9.0,2
btc-updown-15m-1786167000,weekend,2026-08-03,00-06,T-15s_to_settlement,1,47.84,47.3616,47.84,15.0,0
btc-updown-15m-1786177800,weekend,2026-08-03,00-06,T-15m_to_T-10m,199,5398.721879,2560.960170015974,10.0,28.0,64
btc-updown-15m-1786177800,weekend,2026-08-03,00-06,T-10m_to_T-5m,171,4480.373726,2147.3906680097066,9.5,15.0,70
btc-updown-15m-1786177800,weekend,2026-08-03,00-06,T-5m_to_T-2m,47,1923.531581,1093.1626800055335,14.49,21.0,12
btc-updown-15m-1786177800,weekend,2026-08-03,00-06,T-2m_to_T-1m,3,265.328,14.1999879962564,103.316,38.0,1
btc-updown-15m-1786177800,weekend,2026-08-03,00-06,T-60s_to_T-30s,5,408.649,396.254371,50.0,12.0,2
btc-updown-15m-1786177800,weekend,2026-08-03,00-06,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786177800,weekend,2026-08-03,00-06,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786188600,weekend,2026-08-03,06-12,T-15m_to_T-10m,258,7173.214314,3618.767491997157,11.1976735,17.0,54
btc-updown-15m-1786188600,weekend,2026-08-03,06-12,T-10m_to_T-5m,214,5355.6830899999995,2609.4855019825677,8.914284,20.0,73
btc-updown-15m-1786188600,weekend,2026-08-03,06-12,T-5m_to_T-2m,184,1998.894613,828.158016999974,5.2803015,6.0,75
btc-updown-15m-1786188600,weekend,2026-08-03,06-12,T-2m_to_T-1m,82,1256.172855,792.1939580046756,7.0208685,5.0,32
btc-updown-15m-1786188600,weekend,2026-08-03,06-12,T-60s_to_T-30s,28,398.65754499999997,219.49799299647105,6.245,6.0,11
btc-updown-15m-1786188600,weekend,2026-08-03,06-12,T-30s_to_T-15s,36,3622.329946,2455.607973044841,15.576525,2.0,8
btc-updown-15m-1786188600,weekend,2026-08-03,06-12,T-15s_to_settlement,1,3.0,2.9699999999999998,3.0,9.0,0
btc-updown-15m-1786210200,weekend,2026-08-03,12-18,T-15m_to_T-10m,264,5880.636709,2659.2588040089095,11.49577,16.0,73
btc-updown-15m-1786210200,weekend,2026-08-03,12-18,T-10m_to_T-5m,206,4925.069634,3184.2290110162776,5.292337,11.0,63
btc-updown-15m-1786210200,weekend,2026-08-03,12-18,T-5m_to_T-2m,216,4057.226139,2896.4932209988674,8.0,11.0,47
btc-updown-15m-1786210200,weekend,2026-08-03,12-18,T-2m_to_T-1m,66,1918.877533,1338.0887360019474,11.4205665,5.0,12
btc-updown-15m-1786210200,weekend,2026-08-03,12-18,T-60s_to_T-30s,18,429.22,321.7107,15.0,8.0,2
btc-updown-15m-1786210200,weekend,2026-08-03,12-18,T-30s_to_T-15s,2,199.99099999999999,199.79100899999997,99.99549999999999,6.0,0
btc-updown-15m-1786210200,weekend,2026-08-03,12-18,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786221000,weekend,2026-08-03,12-18,T-15m_to_T-10m,234,7498.325927,2771.019830016513,11.0,18.0,62
btc-updown-15m-1786221000,weekend,2026-08-03,12-18,T-10m_to_T-5m,236,4024.41691,2052.9547700044013,6.410254,8.0,90
btc-updown-15m-1786221000,weekend,2026-08-03,12-18,T-5m_to_T-2m,173,3002.702971,1876.5375619763981,7.0,6.0,32
btc-updown-15m-1786221000,weekend,2026-08-03,12-18,T-2m_to_T-1m,43,858.576166,626.8933529987872,10.0,6.0,14
btc-updown-15m-1786221000,weekend,2026-08-03,12-18,T-60s_to_T-30s,21,428.741706,401.1853920031046,6.0,6.0,4
btc-updown-15m-1786221000,weekend,2026-08-03,12-18,T-30s_to_T-15s,17,658.5136,651.277464000745,11.81,6.0,0
btc-updown-15m-1786221000,weekend,2026-08-03,12-18,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786231800,weekend,2026-08-03,18-24,T-15m_to_T-10m,179,3783.969075,1921.7740170023296,10.0,21.0,33
btc-updown-15m-1786231800,weekend,2026-08-03,18-24,T-10m_to_T-5m,250,4701.005559,2070.685341992707,10.0,36.0,43
btc-updown-15m-1786231800,weekend,2026-08-03,18-24,T-5m_to_T-2m,118,2589.252633,2084.214278996025,10.0,15.0,12
btc-updown-15m-1786231800,weekend,2026-08-03,18-24,T-2m_to_T-1m,25,469.486526,234.45806200036336,10.0,17.0,3
btc-updown-15m-1786231800,weekend,2026-08-03,18-24,T-60s_to_T-30s,1,50.0,0.05,50.0,19.0,0
btc-updown-15m-1786231800,weekend,2026-08-03,18-24,T-30s_to_T-15s,3,208.992,125.958988,82.99,7.0,2
btc-updown-15m-1786231800,weekend,2026-08-03,18-24,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786242600,weekend,2026-08-03,18-24,T-15m_to_T-10m,369,12869.054195,5740.050584969049,10.2,9.0,84
btc-updown-15m-1786242600,weekend,2026-08-03,18-24,T-10m_to_T-5m,191,4484.918729,2359.4802379648477,5.0,6.0,83
btc-updown-15m-1786242600,weekend,2026-08-03,18-24,T-5m_to_T-2m,144,3870.757431,2271.738945954614,5.906975,6.0,47
btc-updown-15m-1786242600,weekend,2026-08-03,18-24,T-2m_to_T-1m,12,451.4039,297.117161000052,31.46,51.0,5
btc-updown-15m-1786242600,weekend,2026-08-03,18-24,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1786242600,weekend,2026-08-03,18-24,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786242600,weekend,2026-08-03,18-24,T-15s_to_settlement,1,1037.46,1036.42254,1037.46,13.0,0
btc-updown-15m-1786253400,weekend,2026-08-03,00-06,T-15m_to_T-10m,171,4411.64485,2108.42896301008,14.0,24.0,19
btc-updown-15m-1786253400,weekend,2026-08-03,00-06,T-10m_to_T-5m,244,5267.582119,2668.115456990641,13.0,18.0,73
btc-updown-15m-1786253400,weekend,2026-08-03,00-06,T-5m_to_T-2m,394,8662.516561,4045.8305670271693,10.0,3.0,101
btc-updown-15m-1786253400,weekend,2026-08-03,00-06,T-2m_to_T-1m,70,1455.1767,672.0491650136576,10.0,6.0,22
btc-updown-15m-1786253400,weekend,2026-08-03,00-06,T-60s_to_T-30s,59,1652.534613,802.8552080013005,10.0,3.0,26
btc-updown-15m-1786253400,weekend,2026-08-03,00-06,T-30s_to_T-15s,15,822.1802,715.958398,10.0,6.0,2
btc-updown-15m-1786253400,weekend,2026-08-03,00-06,T-15s_to_settlement,4,367.59389999999996,344.896861008134,6.845,6.0,1
btc-updown-15m-1786275000,weekend,2026-08-03,06-12,T-15m_to_T-10m,225,6005.695866,3080.0740199849192,9.8,33.0,46
btc-updown-15m-1786275000,weekend,2026-08-03,06-12,T-10m_to_T-5m,259,4267.310236,2603.0267769973243,5.0,6.0,90
btc-updown-15m-1786275000,weekend,2026-08-03,06-12,T-5m_to_T-2m,115,2968.609671,2510.4703480030507,5.0,12.0,25
btc-updown-15m-1786275000,weekend,2026-08-03,06-12,T-2m_to_T-1m,28,867.861812,859.0966930002021,2.5,16.0,0
btc-updown-15m-1786275000,weekend,2026-08-03,06-12,T-60s_to_T-30s,16,411.3008,407.196352,16.655,12.0,0
btc-updown-15m-1786275000,weekend,2026-08-03,06-12,T-30s_to_T-15s,4,150.0,149.85,10.01,8.0,0
btc-updown-15m-1786275000,weekend,2026-08-03,06-12,T-15s_to_settlement,1,16.13,16.11387,16.13,12.0,0
btc-updown-15m-1786285800,weekend,2026-08-03,06-12,T-15m_to_T-10m,306,4240.055323,1765.63324599237,7.4502625,14.0,105
btc-updown-15m-1786285800,weekend,2026-08-03,06-12,T-10m_to_T-5m,227,4233.691945,2184.5276049828585,6.0,12.0,87
btc-updown-15m-1786285800,weekend,2026-08-03,06-12,T-5m_to_T-2m,169,2955.991952,1942.663917983957,7.2258,12.0,46
btc-updown-15m-1786285800,weekend,2026-08-03,06-12,T-2m_to_T-1m,33,538.060703,391.81291199870986,11.77,9.0,4
btc-updown-15m-1786285800,weekend,2026-08-03,06-12,T-60s_to_T-30s,4,286.784,181.750122006962,75.8,14.0,2
btc-updown-15m-1786285800,weekend,2026-08-03,06-12,T-30s_to_T-15s,2,164.81,164.64519,82.405,12.0,0
btc-updown-15m-1786285800,weekend,2026-08-03,06-12,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786296600,weekend,2026-08-03,12-18,T-15m_to_T-10m,291,7620.216275,4271.1758990056005,10.0,20.0,75
btc-updown-15m-1786296600,weekend,2026-08-03,12-18,T-10m_to_T-5m,256,6480.177546,3311.8687010419576,6.17,6.0,90
btc-updown-15m-1786296600,weekend,2026-08-03,12-18,T-5m_to_T-2m,147,2253.197073,1278.9025020006789,4.0,6.0,52
btc-updown-15m-1786296600,weekend,2026-08-03,12-18,T-2m_to_T-1m,60,1511.32267,1020.8981710021299,10.095741499999999,5.0,10
btc-updown-15m-1786296600,weekend,2026-08-03,12-18,T-60s_to_T-30s,57,1371.14203,925.2829530012808,10.40625,3.0,12
btc-updown-15m-1786296600,weekend,2026-08-03,12-18,T-30s_to_T-15s,8,721.965713,467.9905989978854,15.0,4.0,2
btc-updown-15m-1786296600,weekend,2026-08-03,12-18,T-15s_to_settlement,1,1.47,1.4553,1.47,10.0,0
btc-updown-15m-1786318200,weekend,2026-08-03,18-24,T-15m_to_T-10m,428,9559.201813,4850.2830699521755,10.0,17.0,124
btc-updown-15m-1786318200,weekend,2026-08-03,18-24,T-10m_to_T-5m,437,7265.966891,3640.642641001207,8.69,9.0,135
btc-updown-15m-1786318200,weekend,2026-08-03,18-24,T-5m_to_T-2m,156,4729.354179,2312.632687000323,5.5867629999999995,17.0,53
btc-updown-15m-1786318200,weekend,2026-08-03,18-24,T-2m_to_T-1m,88,2533.837021,1065.6632299972437,9.886363,7.0,36
btc-updown-15m-1786318200,weekend,2026-08-03,18-24,T-60s_to_T-30s,54,1695.438811,1133.5415860011747,11.292807499999999,8.0,16
btc-updown-15m-1786318200,weekend,2026-08-03,18-24,T-30s_to_T-15s,3,175.096,18.518775997877597,11.6,6.0,2
btc-updown-15m-1786318200,weekend,2026-08-03,18-24,T-15s_to_settlement,4,201.84,201.58418000691,14.35,7.0,0
btc-updown-15m-1786329000,weekend,2026-08-03,18-24,T-15m_to_T-10m,254,6633.822222,3902.6072999635535,8.201876,14.0,97
btc-updown-15m-1786329000,weekend,2026-08-03,18-24,T-10m_to_T-5m,219,4466.792689,2759.692170983806,7.082346,12.0,53
btc-updown-15m-1786329000,weekend,2026-08-03,18-24,T-5m_to_T-2m,147,5155.974606,4615.811012019658,15.0,21.0,13
btc-updown-15m-1786329000,weekend,2026-08-03,18-24,T-2m_to_T-1m,10,856.179,656.200320999904,14.507,18.0,1
btc-updown-15m-1786329000,weekend,2026-08-03,18-24,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1786329000,weekend,2026-08-03,18-24,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786329000,weekend,2026-08-03,18-24,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786388400,weekday,2026-08-10,12-18,T-15m_to_T-10m,335,7928.755113,4059.858076985729,8.0,11.0,112
btc-updown-15m-1786388400,weekday,2026-08-10,12-18,T-10m_to_T-5m,234,5493.070569,3157.6148629898107,7.1008379999999995,11.0,84
btc-updown-15m-1786388400,weekday,2026-08-10,12-18,T-5m_to_T-2m,177,7207.587322,2879.74483906635,10.0,15.0,58
btc-updown-15m-1786388400,weekday,2026-08-10,12-18,T-2m_to_T-1m,89,2526.556427,1981.7785460004975,10.0,6.0,15
btc-updown-15m-1786388400,weekday,2026-08-10,12-18,T-60s_to_T-30s,5,166.35999999999999,164.69639999999998,10.0,21.0,0
btc-updown-15m-1786388400,weekday,2026-08-10,12-18,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786388400,weekday,2026-08-10,12-18,T-15s_to_settlement,1,13.67,13.65633,13.67,11.0,0
btc-updown-15m-1786410000,weekday,2026-08-10,18-24,T-15m_to_T-10m,271,5853.982893,2705.541579004798,9.8,16.0,88
btc-updown-15m-1786410000,weekday,2026-08-10,18-24,T-10m_to_T-5m,201,2941.877446,1294.4760580037105,5.263156,16.0,72
btc-updown-15m-1786410000,weekday,2026-08-10,18-24,T-5m_to_T-2m,482,8134.153074,4362.283684959499,10.0,5.0,118
btc-updown-15m-1786410000,weekday,2026-08-10,18-24,T-2m_to_T-1m,31,1067.203774,1048.668430000067,6.0,9.0,2
btc-updown-15m-1786410000,weekday,2026-08-10,18-24,T-60s_to_T-30s,8,2585.54,25.8554,12.22,11.0,0
btc-updown-15m-1786410000,weekday,2026-08-10,18-24,T-30s_to_T-15s,3,42.42,22.3958,10.0,12.0,1
btc-updown-15m-1786410000,weekday,2026-08-10,18-24,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786431600,weekday,2026-08-10,00-06,T-15m_to_T-10m,291,8255.715317,3867.4624929984225,10.0,10.0,85
btc-updown-15m-1786431600,weekday,2026-08-10,00-06,T-10m_to_T-5m,268,4701.5102799999995,2155.8292580261136,7.0,18.0,85
btc-updown-15m-1786431600,weekday,2026-08-10,00-06,T-5m_to_T-2m,233,5742.475363,2395.1504059976983,8.08,6.0,69
btc-updown-15m-1786431600,weekday,2026-08-10,00-06,T-2m_to_T-1m,111,2947.986829,1524.4888579975416,10.0,5.0,35
btc-updown-15m-1786431600,weekday,2026-08-10,00-06,T-60s_to_T-30s,36,1295.222037,913.561127003829,10.0,4.0,9
btc-updown-15m-1786431600,weekday,2026-08-10,00-06,T-30s_to_T-15s,3,4.88,4.8312,1.24,12.0,0
btc-updown-15m-1786431600,weekday,2026-08-10,00-06,T-15s_to_settlement,3,22.94,3.1106000000000003,10.0,7.0,1
btc-updown-15m-1786453200,weekday,2026-08-10,06-12,T-15m_to_T-10m,319,11549.832649,6348.298383014229,10.0,12.0,86
btc-updown-15m-1786453200,weekday,2026-08-10,06-12,T-10m_to_T-5m,385,9242.017786,4580.026952027422,8.0,7.0,141
btc-updown-15m-1786453200,weekday,2026-08-10,06-12,T-5m_to_T-2m,291,9464.996147,4495.678933974338,10.0,6.0,94
btc-updown-15m-1786453200,weekday,2026-08-10,06-12,T-2m_to_T-1m,86,3597.7371479999997,2717.2144459706437,11.120555,8.0,24
btc-updown-15m-1786453200,weekday,2026-08-10,06-12,T-60s_to_T-30s,30,6609.8314,2157.327086023386,7.815,9.0,6
btc-updown-15m-1786453200,weekday,2026-08-10,06-12,T-30s_to_T-15s,9,173.774,30.153106,10.0,4.0,3
btc-updown-15m-1786453200,weekday,2026-08-10,06-12,T-15s_to_settlement,1,80.89,80.80911,80.89,8.0,0
btc-updown-15m-1786496400,weekday,2026-08-10,18-24,T-15m_to_T-10m,535,10398.756763,4860.874521976771,10.0,11.0,137
btc-updown-15m-1786496400,weekday,2026-08-10,18-24,T-10m_to_T-5m,477,7825.361101,3852.114243019401,7.98,6.0,147
btc-updown-15m-1786496400,weekday,2026-08-10,18-24,T-5m_to_T-2m,289,5679.429172,2757.9867879690296,6.0,7.0,80
btc-updown-15m-1786496400,weekday,2026-08-10,18-24,T-2m_to_T-1m,85,2284.054391,1744.2029719999955,6.0,5.0,8
btc-updown-15m-1786496400,weekday,2026-08-10,18-24,T-60s_to_T-30s,8,444.3749,439.931151,3.73735,17.0,0
btc-updown-15m-1786496400,weekday,2026-08-10,18-24,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786496400,weekday,2026-08-10,18-24,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786518000,weekday,2026-08-10,00-06,T-15m_to_T-10m,290,6249.401387,3069.4033329856215,10.0,12.0,84
btc-updown-15m-1786518000,weekday,2026-08-10,00-06,T-10m_to_T-5m,129,2679.964633,1669.9196289780073,7.0,17.0,38
btc-updown-15m-1786518000,weekday,2026-08-10,00-06,T-5m_to_T-2m,62,3700.087222,2033.0531990416473,6.08225,20.0,19
btc-updown-15m-1786518000,weekday,2026-08-10,00-06,T-2m_to_T-1m,5,2019.982,39.962018,11.011,20.0,1
btc-updown-15m-1786518000,weekday,2026-08-10,00-06,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1786518000,weekday,2026-08-10,00-06,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786518000,weekday,2026-08-10,00-06,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786561200,weekday,2026-08-10,12-18,T-15m_to_T-10m,349,6439.957812,3198.3016400083434,5.83,10.0,109
btc-updown-15m-1786561200,weekday,2026-08-10,12-18,T-10m_to_T-5m,343,4893.251895,2615.2579109983285,5.065787,8.0,143
btc-updown-15m-1786561200,weekday,2026-08-10,12-18,T-5m_to_T-2m,185,4203.487573,1945.3350639736125,5.68,15.0,42
btc-updown-15m-1786561200,weekday,2026-08-10,12-18,T-2m_to_T-1m,146,3412.354572,1463.2844709936533,6.0797045,3.0,39
btc-updown-15m-1786561200,weekday,2026-08-10,12-18,T-60s_to_T-30s,54,1795.683293,1354.80500700204,10.0,9.0,3
btc-updown-15m-1786561200,weekday,2026-08-10,12-18,T-30s_to_T-15s,8,1031.53,11.8147,5.0,8.0,2
btc-updown-15m-1786561200,weekday,2026-08-10,12-18,T-15s_to_settlement,5,25.0,5.15,5.0,6.0,1
btc-updown-15m-1786626000,weekday,2026-08-10,06-12,T-15m_to_T-10m,442,10763.323953,5522.9576010094725,10.0,10.0,146
btc-updown-15m-1786626000,weekday,2026-08-10,06-12,T-10m_to_T-5m,255,7140.501425,3577.7993590019023,15.0,17.0,80
btc-updown-15m-1786626000,weekday,2026-08-10,06-12,T-5m_to_T-2m,131,3042.208389,1468.9462899985456,15.0,9.0,46
btc-updown-15m-1786626000,weekday,2026-08-10,06-12,T-2m_to_T-1m,35,799.9182,691.261618,9.06,36.0,5
btc-updown-15m-1786626000,weekday,2026-08-10,06-12,T-60s_to_T-30s,3,824.473,203.3753800159182,104.16,14.0,1
btc-updown-15m-1786626000,weekday,2026-08-10,06-12,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786626000,weekday,2026-08-10,06-12,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786647600,weekday,2026-08-10,12-18,T-15m_to_T-10m,272,4183.499129,2114.589916015582,5.1123725,12.0,89
btc-updown-15m-1786647600,weekday,2026-08-10,12-18,T-10m_to_T-5m,285,17921.88388,8739.514943022947,10.0,20.0,91
btc-updown-15m-1786647600,weekday,2026-08-10,12-18,T-5m_to_T-2m,91,11587.631026,3724.2644627265277,23.0,23.0,17
btc-updown-15m-1786647600,weekday,2026-08-10,12-18,T-2m_to_T-1m,8,1132.2058,132.797981001385,14.015,21.0,1
btc-updown-15m-1786647600,weekday,2026-08-10,12-18,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1786647600,weekday,2026-08-10,12-18,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1786647600,weekday,2026-08-10,12-18,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1786669200,weekday,2026-08-10,18-24,T-15m_to_T-10m,470,7063.125961,3363.0285899704395,6.0,10.0,146
btc-updown-15m-1786669200,weekday,2026-08-10,18-24,T-10m_to_T-5m,460,7242.769931,3248.5609979908445,6.7,8.0,148
btc-updown-15m-1786669200,weekday,2026-08-10,18-24,T-5m_to_T-2m,366,10131.182038,5344.14447700041,11.028984999999999,10.0,102
btc-updown-15m-1786669200,weekday,2026-08-10,18-24,T-2m_to_T-1m,245,4821.816835,2058.538600001249,8.590908,9.0,56
btc-updown-15m-1786669200,weekday,2026-08-10,18-24,T-60s_to_T-30s,55,2638.831957,2260.341180019204,10.0,6.0,18
btc-updown-15m-1786669200,weekday,2026-08-10,18-24,T-30s_to_T-15s,2,201.33,3.3167,100.665,8.0,1
btc-updown-15m-1786669200,weekday,2026-08-10,18-24,T-15s_to_settlement,1,500.0,5.0,500.0,14.0,0
btc-updown-15m-1786690800,weekday,2026-08-10,00-06,T-15m_to_T-10m,525,11713.409028,6178.103029974582,10.0,9.0,135
btc-updown-15m-1786690800,weekday,2026-08-10,00-06,T-10m_to_T-5m,220,11222.375041,4706.104580979094,12.5,9.0,75
btc-updown-15m-1786690800,weekday,2026-08-10,00-06,T-5m_to_T-2m,96,5820.504319,5604.04327399223,15.0,44.0,8
