slug,weekday_weekend,week,et_hour_block,time_to_resolution_bin,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,max_no_trade_interval_sec,price_jump_count_5c
btc-updown-15m-1785351600,weekday,2026-07-27,12-18,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785373200,weekday,2026-07-27,18-24,T-15m_to_T-10m,310,7726.810473,3635.0649420150357,7.9939735,8.0,116
btc-updown-15m-1785373200,weekday,2026-07-27,18-24,T-10m_to_T-5m,279,6159.388114,3621.7973710073625,8.0,24.0,81
btc-updown-15m-1785373200,weekday,2026-07-27,18-24,T-5m_to_T-2m,165,3716.855209,2269.0994119921793,10.0,7.0,44
btc-updown-15m-1785373200,weekday,2026-07-27,18-24,T-2m_to_T-1m,44,2046.541624,1371.3946469933394,20.201009499999998,6.0,7
btc-updown-15m-1785373200,weekday,2026-07-27,18-24,T-60s_to_T-30s,25,523.725783,360.82484700146495,20.0,8.0,4
btc-updown-15m-1785373200,weekday,2026-07-27,18-24,T-30s_to_T-15s,15,636.8736,395.18709898927364,5.39,4.0,2
btc-updown-15m-1785373200,weekday,2026-07-27,18-24,T-15s_to_settlement,41,785.819448,425.26429099352345,10.0,3.0,12
btc-updown-15m-1785394800,weekday,2026-07-27,00-06,T-15m_to_T-10m,321,6041.565889,2734.2512869802035,9.16,9.0,129
btc-updown-15m-1785394800,weekday,2026-07-27,00-06,T-10m_to_T-5m,252,3487.204184,1981.6849949922282,6.1803135,15.0,96
btc-updown-15m-1785394800,weekday,2026-07-27,00-06,T-5m_to_T-2m,152,3530.363577,2246.5425169883392,6.99,10.0,31
btc-updown-15m-1785394800,weekday,2026-07-27,00-06,T-2m_to_T-1m,5,122.25,23.2075,10.0,35.0,2
btc-updown-15m-1785394800,weekday,2026-07-27,00-06,T-60s_to_T-30s,7,190.08599999999998,189.850564,5.15,21.0,0
btc-updown-15m-1785394800,weekday,2026-07-27,00-06,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785394800,weekday,2026-07-27,00-06,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785416400,weekday,2026-07-27,06-12,T-15m_to_T-10m,353,6137.757292,3218.127861980726,8.236362,20.0,106
btc-updown-15m-1785416400,weekday,2026-07-27,06-12,T-10m_to_T-5m,294,4602.614448,2404.803167000433,6.935465000000001,9.0,102
btc-updown-15m-1785416400,weekday,2026-07-27,06-12,T-5m_to_T-2m,176,5626.821267,3085.844060983997,10.0,8.0,52
btc-updown-15m-1785416400,weekday,2026-07-27,06-12,T-2m_to_T-1m,55,1102.083914,750.4313789962401,10.0,6.0,11
btc-updown-15m-1785416400,weekday,2026-07-27,06-12,T-60s_to_T-30s,17,1372.328913,1347.6251190047333,10.20405,5.0,2
btc-updown-15m-1785416400,weekday,2026-07-27,06-12,T-30s_to_T-15s,4,682.99,681.7970800025139,100.2,7.0,0
btc-updown-15m-1785416400,weekday,2026-07-27,06-12,T-15s_to_settlement,1,1.99,1.98801,1.99,9.0,0
btc-updown-15m-1785459600,weekday,2026-07-27,18-24,T-15m_to_T-10m,308,8736.127204,4014.1140149916932,10.0,11.0,122
btc-updown-15m-1785459600,weekday,2026-07-27,18-24,T-10m_to_T-5m,126,16016.241475,10644.326121017317,10.0,19.0,36
btc-updown-15m-1785459600,weekday,2026-07-27,18-24,T-5m_to_T-2m,30,9364.599241,4118.114781000001,32.5,49.0,9
btc-updown-15m-1785459600,weekday,2026-07-27,18-24,T-2m_to_T-1m,0,0,0,,60,0
btc-updown-15m-1785459600,weekday,2026-07-27,18-24,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1785459600,weekday,2026-07-27,18-24,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785459600,weekday,2026-07-27,18-24,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785481200,weekday,2026-07-27,00-06,T-15m_to_T-10m,395,5741.897653,2768.4986069910383,6.4,6.0,147
btc-updown-15m-1785481200,weekday,2026-07-27,00-06,T-10m_to_T-5m,327,9674.924762,4979.466960958569,13.58,14.0,120
btc-updown-15m-1785481200,weekday,2026-07-27,00-06,T-5m_to_T-2m,59,2508.915855,2143.369223990811,8.86,18.0,10
btc-updown-15m-1785481200,weekday,2026-07-27,00-06,T-2m_to_T-1m,1,70.0,69.93,70.0,56.0,0
btc-updown-15m-1785481200,weekday,2026-07-27,00-06,T-60s_to_T-30s,0,0,0,,30,0
btc-updown-15m-1785481200,weekday,2026-07-27,00-06,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785481200,weekday,2026-07-27,00-06,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785524400,weekday,2026-07-27,12-18,T-15m_to_T-10m,322,5936.049282,2956.17089601359,6.397413,12.0,106
btc-updown-15m-1785524400,weekday,2026-07-27,12-18,T-10m_to_T-5m,193,5641.705945,2724.555199033844,9.17857,18.0,71
