observation_sec,threshold_bps,entry_delay_sec,execution_model,slippage_cents,partition,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,markets_with_valid_btc,signal_markets,no_trade_markets,no_fill_markets,bootstrap_mean_pnl_low,bootstrap_mean_pnl_high,method_note
180,0,0,vwap_5s,0,all,169,169,,0.7159763313609467,0.6569055142484025,0.6569055142484025,0.0590708171125443,188.44118826997246,16.900000000000002,171.5411882699725,1.015036616982086,0.10150366169820858,1.35383908471529,56.867924631178994,3,5.424307341074153,-10.1,-10.1,-10.1,-10.1,-10.1,200,195,5,26,-0.08251392882356272,2.0814769465289285,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,0,0,vwap_5s,0,development,107,107,,0.7383177570093458,0.6595873395659992,0.6595873395659992,0.07873041744334652,163.67770433793584,10.700000000000001,152.97770433793588,1.4296981713825783,0.14296981713825782,1.5409395485782738,36.938128514524436,3,5.5161734726321,-10.1,-10.1,-10.1,-10.1,-10.1,127,123,4,16,-0.1263848342820405,2.8971312106266107,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,0,0,vwap_5s,0,holdout,62,62,,0.6774193548387096,0.652277202813195,0.652277202813195,0.02514215202551466,24.76348393203662,6.2,18.563483932036632,0.2994110311618812,0.02994110311618812,1.091898435307112,46.76801151560915,3,5.251511522191349,-10.1,-10.1,-10.1,-10.1,-10.1,73,72,1,10,-1.3046016515192738,2.0120162147559872,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,2,0,vwap_5s,0,all,124,124,,0.7419354838709677,0.703773613140242,0.703773613140242,0.03816187073072577,70.644462160925,12.4,58.244462160925025,0.46971340452358895,0.046971340452358894,1.180211825992961,39.260859523525085,2,4.1461354582709244,-10.1,-10.1,-10.1,-10.1,-10.1,200,133,67,9,-0.5893038072840707,1.5853516701845989,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,2,0,vwap_5s,0,development,81,81,,0.7283950617283951,0.7050893474897966,0.7050893474897966,0.02330571423859853,27.67272853265255,8.1,19.57272853265256,0.2416386238599082,0.024163862385990817,1.0880860870056372,39.260859523525085,2,4.097842856485636,-10.1,-10.1,-10.1,-10.1,-10.1,127,85,42,4,-1.0775894541917923,1.5462820647999405,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,2,0,vwap_5s,0,holdout,43,43,,0.7674418604651163,0.7012951368073601,0.7012951368073601,0.06614672365775615,42.97173362827246,4.3,38.67173362827246,0.8993426425179643,0.08993426425179643,1.3828884517650737,24.3282586335783,1,4.232476776614317,-10.1,-10.1,-10.1,-10.1,-10.1,73,48,25,5,-0.7676764732366549,2.8269081521688872,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,5,0,vwap_5s,0,all,73,73,,0.7671232876712328,0.7485310477686228,0.7485310477686228,0.018592239902610132,14.082611075646259,7.300000000000001,6.782611075646267,0.09291248048830503,0.009291248048830502,1.039502685356123,37.65796868995036,2,3.1871894834936834,-10.1,-10.1,-10.1,-10.1,-10.1,200,76,124,3,-1.1302708512377841,1.3169447399033136,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,5,0,vwap_5s,0,development,44,44,,0.7727272727272727,0.7583849851956878,0.7583849851956878,0.014342287531585014,7.301017889891694,4.4,2.901017889891699,0.06593222477026589,0.0065932224770265885,1.0287229494048682,24.93251086131889,2,3.0559122908791676,-10.1,-10.1,-10.1,-10.1,-10.1,127,47,80,3,-1.6676212320053576,1.7794810651420567,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,5,0,vwap_5s,0,holdout,29,29,,0.7586206896551724,0.7335802461551448,0.7335802461551448,0.025040443500027557,6.781593185754565,2.9000000000000004,3.8815931857545682,0.13384804088808855,0.013384804088808856,1.054902308143629,19.239368935706217,1,3.3900724175342987,-10.1,-10.1,-10.1,-10.1,-10.1,73,29,44,0,-1.5642168436305486,1.8267338547706435,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,10,0,vwap_5s,0,all,34,34,,0.7352941176470589,0.7811406951502532,0.7811406951502532,-0.045846577503194375,-24.049027288598328,3.4000000000000004,-27.449027288598327,-0.8073243320175978,-0.08073243320175978,0.698030502875706,51.98355741691161,2,2.538038908456067,-10.1,-10.1,-10.1,-10.1,-10.1,200,34,166,0,-2.96306548374189,1.0202605821575066,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,10,0,vwap_5s,0,development,22,22,,0.7727272727272727,0.7796637880333235,0.7796637880333235,-0.006936515306050697,-2.4434433826925535,2.2,-4.643443382692551,-0.21106560830420687,-0.021106560830420687,0.908050626085296,20.2,2,2.697444506900438,-10.1,-10.1,-10.1,-10.1,-10.1,127,22,105,0,-2.9163143770102105,2.045400632758254,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
