signal_family,partition,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,win_rate_basis
always_down,all,156,156,,0.46794871794871795,0.4680145234582808,0.4680145234582808,-6.580550956284493e-05,-69.98926827578512,15.600000000000001,-85.5892682757851,-0.5486491556140071,-0.054864915561400704,0.8979013858096324,197.09381748384186,9,10.31110591403034,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
always_down,development,103,103,,0.46601941747572817,0.4638222785500588,0.4638222785500588,0.002197138925669321,-43.68643025831237,10.3,-53.98643025831235,-0.5241400995952655,-0.05241400995952656,0.9028147070057383,166.1289636300192,9,10.448199369618493,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
always_down,holdout,53,53,,0.4716981132075472,0.47616171639312727,0.47616171639312727,-0.004463603185580073,-26.30283801747276,5.300000000000001,-31.602838017472752,-0.5962799625938255,-0.05962799625938255,0.8882502191744244,105.21077612863355,6,10.04788647930109,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
always_up,all,159,159,,0.559748427672956,0.5618354627749701,0.5618354627749701,-0.002087035102014086,-45.66558832594433,15.9,-61.56558832594429,-0.38720495802480687,-0.03872049580248069,0.9129199599350152,118.64903288608588,5,7.252072041281525,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
always_up,development,102,102,,0.5686274509803921,0.5571778734156982,0.5571778734156982,0.011449577564693924,-4.022420590528677,10.200000000000001,-14.222420590528658,-0.1394354959855751,-0.013943549598557509,0.9679963533066411,102.1081729134057,5,7.416854817404678,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
always_up,holdout,57,57,,0.543859649122807,0.570170096365246,0.570170096365246,-0.026310447242438948,-41.643167735415645,5.7,-47.34316773541563,-0.8305818900950112,-0.08305818900950111,0.819713755767648,102.5729376792073,4,6.943768782728528,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
btc_continuation_120s,all,156,156,,0.6217948717948718,0.6372697363284168,0.6372697363284168,-0.01547486453354499,-31.940700323516747,15.600000000000001,-47.54070032351672,-0.30474807899690204,-0.030474807899690204,0.9202203384401465,110.8796525841222,5,5.653188656458591,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
btc_continuation_120s,development,97,97,,0.6391752577319587,0.635186461224907,0.635186461224907,0.0039887965070518295,31.844632370260058,9.700000000000001,22.144632370260073,0.22829517907484612,0.022829517907484612,1.062643938812617,93.96930020209702,5,6.058784393068711,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
btc_continuation_120s,holdout,59,59,,0.5932203389830508,0.640694781837577,0.640694781837577,-0.047474442854526205,-63.7853326937768,5.9,-69.68533269377679,-1.181107333792827,-0.11811073337928268,0.7125192545636271,97.48488619474604,4,4.934704780177806,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
btc_continuation_60s,all,154,154,,0.5454545454545454,0.609262889188725,0.609262889188725,-0.06380834373417948,-230.5772483970926,15.4,-245.97724839709255,-1.5972548597213803,-0.159725485972138,0.6520830998626697,271.8802803038973,8,5.4883660905108025,-10.1,-10.1,-10.1,-10.1,-10.1,resolved winner labels; trades require a post-signal print
