slug,market_start_epoch,local_date,week,weekday_weekend,et_hour_block,winner,resolution_status,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,trade_print_realized_volatility,price_jump_count_5c,price_history_points,historical_bbo_spread,historical_l2_depth
btc-updown-15m-1785870000,1785870000,2026-08-04,2026-08-03,weekday,12-18,UP,resolved,1027,25587.501666,12480.414401002827,8.0,1.923075,50.0,12.0,1.1411111111111112,0.7400707356089932,20,2,,
btc-updown-15m-1785913200,1785913200,2026-08-05,2026-08-03,weekday,00-06,DOWN,resolved,797,16274.770026,9008.718352996584,7.14,1.639343,43.0,75.0,0.8855555555555555,3.518854513557505,13,2,,
btc-updown-15m-1785934800,1785934800,2026-08-05,2026-08-03,weekday,06-12,DOWN,resolved,536,16538.662304,7134.8505980176205,8.2089555,1.79,74.888887,80.0,0.5955555555555555,2.9606303583609335,3,2,,
btc-updown-15m-1785978000,1785978000,2026-08-05,2026-08-03,weekday,18-24,DOWN,resolved,886,20194.157729,8868.842339979907,7.566342000000001,2.0,47.39,19.0,0.9844444444444445,3.45512452392361,14,2,,
btc-updown-15m-1785999600,1785999600,2026-08-06,2026-08-03,weekday,00-06,UP,resolved,1047,22613.597655,12143.890008989712,6.621211,2.0,46.0,15.0,1.1633333333333333,1.1943350944753626,19,2,,
btc-updown-15m-1786021200,1786021200,2026-08-06,2026-08-03,weekday,06-12,DOWN,resolved,818,29455.193111,16732.043134968928,9.36335,2.0,73.1,90.0,0.9088888888888889,5.022351663259695,6,2,,
btc-updown-15m-1786107600,1786107600,2026-08-07,2026-08-03,weekday,06-12,DOWN,resolved,935,26236.432198,16276.202113133266,8.319147,1.216864,63.0,38.0,1.038888888888889,4.184560228112912,9,2,,
btc-updown-15m-1786129200,1786129200,2026-08-07,2026-08-03,weekday,12-18,UP,resolved,526,22263.27174,12287.734418968397,11.420531,2.0,103.092782,78.0,0.5844444444444444,0.28006141939931023,3,2,,
btc-updown-15m-1786150800,1786150800,2026-08-07,2026-08-03,weekday,18-24,UP,resolved,780,24772.318122,13046.774553911762,7.0,2.272726,63.666665,20.0,0.8666666666666667,0.6691018235217384,7,2,,
btc-updown-15m-1786167000,1786167000,2026-08-08,2026-08-03,weekend,00-06,DOWN,resolved,617,17622.384441,9793.858291068063,8.521738,2.0,59.45,21.0,0.6855555555555556,4.282745742737157,8,2,,
btc-updown-15m-1786177800,1786177800,2026-08-08,2026-08-03,weekend,00-06,UP,resolved,425,12476.604186,6211.96787702747,10.0,2.0,65.0,50.0,0.4722222222222222,0.3942608518292114,2,2,,
btc-updown-15m-1786188600,1786188600,2026-08-08,2026-08-03,weekend,06-12,DOWN,resolved,803,19807.952363,10526.680935025686,8.914284,2.0,49.99,20.0,0.8922222222222222,2.4999618054406296,6,2,,
btc-updown-15m-1786210200,1786210200,2026-08-08,2026-08-03,weekend,12-18,UP,resolved,772,17411.021015,10599.571481026001,10.0,1.94,50.0,18.0,0.8577777777777778,0.4733230335695164,8,2,,
btc-updown-15m-1786221000,1786221000,2026-08-08,2026-08-03,weekend,12-18,UP,resolved,724,16471.27728,8379.86837099995,8.041233,2.0,51.9105,18.0,0.8044444444444444,0.40308026951857867,7,2,,
btc-updown-15m-1786231800,1786231800,2026-08-08,2026-08-03,weekend,18-24,UP,resolved,576,11802.705793,6437.140687991425,10.0,2.0,40.0,36.0,0.64,0.3040234095275015,2,2,,
btc-updown-15m-1786242600,1786242600,2026-08-08,2026-08-03,weekend,18-24,DOWN,resolved,717,22713.594255,11704.809469888562,9.43,2.0,75.731706,109.0,0.7966666666666666,3.1702229887547158,12,2,,
btc-updown-15m-1786253400,1786253400,2026-08-09,2026-08-03,weekend,00-06,DOWN,resolved,957,22639.228943,11358.134619050983,10.0,2.040815,50.0,24.0,1.0633333333333332,4.447725123477638,27,2,,
btc-updown-15m-1786275000,1786275000,2026-08-09,2026-08-03,weekend,06-12,UP,resolved,648,14686.908385,9625.828059985497,6.0,2.0,64.875,33.0,0.72,0.45021488268711735,7,2,,
btc-updown-15m-1786285800,1786285800,2026-08-09,2026-08-03,weekend,06-12,DOWN,resolved,741,12419.393923,6631.032992964858,6.856663,1.42,43.21,23.0,0.8233333333333334,4.489496882111361,8,2,,
btc-updown-15m-1786296600,1786296600,2026-08-09,2026-08-03,weekend,12-18,DOWN,resolved,820,19959.491307,11277.574125049534,8.1584305,2.0,52.0,20.0,0.9111111111111111,3.6156990341478776,6,2,,
btc-updown-15m-1786318200,1786318200,2026-08-09,2026-08-03,weekend,18-24,DOWN,resolved,1170,26160.734715,13222.866169956911,10.0,1.329783,57.0,17.0,1.3,4.706480331281647,22,2,,
btc-updown-15m-1786329000,1786329000,2026-08-09,2026-08-03,weekend,18-24,UP,resolved,630,17112.768517,11934.310803966922,9.8,1.51515,55.5,78.0,0.7,0.4192410533482142,3,2,,
btc-updown-15m-1786388400,1786388400,2026-08-10,2026-08-10,weekday,12-18,UP,resolved,841,23335.999431,12257.349055042387,8.216215,1.51515,60.0,40.0,0.9344444444444444,0.5594611789609722,12,2,,
btc-updown-15m-1786410000,1786410000,2026-08-10,2026-08-10,weekday,18-24,UP,resolved,996,20625.177187,9459.220951968075,9.219999999999999,1.42,40.0,27.0,1.1066666666666667,1.6462616567798622,20,2,,
btc-updown-15m-1786431600,1786431600,2026-08-11,2026-08-10,weekday,00-06,UP,resolved,945,22970.729826,10864.433942023605,9.25,1.60759,50.0,18.0,1.05,0.49496385412566957,13,2,,
btc-updown-15m-1786453200,1786453200,2026-08-11,2026-08-10,weekday,06-12,DOWN,resolved,1121,40719.07913,20409.50801701002,10.0,1.85,67.0,12.0,1.2455555555555555,3.7978974724294816,25,2,,
btc-updown-15m-1786496400,1786496400,2026-08-11,2026-08-10,weekday,18-24,UP,resolved,1394,26631.976327,13655.109675965197,8.301392499999999,2.0,42.84,47.0,1.548888888888889,0.9560964866182622,16,2,,
btc-updown-15m-1786518000,1786518000,2026-08-12,2026-08-10,weekday,00-06,UP,resolved,486,14649.435242,6812.338179005276,10.0,2.083325,50.0,66.0,0.54,0.25658813045893797,2,2,,
btc-updown-15m-1786561200,1786561200,2026-08-12,2026-08-10,weekday,12-18,UP,resolved,1090,21801.265145,10593.948792975978,5.3780470000000005,1.470587,44.117646,15.0,1.211111111111111,0.47464324933187024,9,2,,
btc-updown-15m-1786626000,1786626000,2026-08-13,2026-08-10,weekday,06-12,UP,resolved,866,22570.424967,11464.34024802584,11.795,1.5,54.0,44.0,0.9622222222222222,0.3770150438043464,4,2,,
btc-updown-15m-1786647600,1786647600,2026-08-13,2026-08-10,weekday,12-18,UP,resolved,656,34825.219834999996,14711.16730276644,10.0,1.785713,85.0,65.0,0.7288888888888889,0.4273539863630523,7,2,,
btc-updown-15m-1786669200,1786669200,2026-08-13,2026-08-10,weekday,18-24,DOWN,resolved,1599,32599.056722,16282.930544982146,7.446807,1.754384,46.0,14.0,1.7766666666666666,2.3162209460533796,37,2,,
btc-updown-15m-1786690800,1786690800,2026-08-14,2026-08-10,weekday,00-06,UP,resolved,859,32919.479388,17852.5996839918,10.0,1.75,63.79,77.0,0.9544444444444444,0.29938699085567455,0,2,,
btc-updown-15m-1786734000,1786734000,2026-08-14,2026-08-10,weekday,12-18,DOWN,resolved,690,18515.315909,9951.438862001893,7.915,1.234563,68.49,54.0,0.7666666666666667,3.1345642677166645,8,2,,
btc-updown-15m-1786771800,1786771800,2026-08-15,2026-08-10,weekend,00-06,DOWN,resolved,531,11175.229563,6795.905041985296,6.98,2.0,50.0,121.0,0.59,3.914295753065765,9,2,,
btc-updown-15m-1786782600,1786782600,2026-08-15,2026-08-10,weekend,00-06,DOWN,resolved,673,16867.700894,10183.780857997912,8.51,1.864404,50.0,45.0,0.7477777777777778,3.1112901028078093,3,2,,
btc-updown-15m-1786793400,1786793400,2026-08-15,2026-08-10,weekend,06-12,UP,resolved,638,13774.10102,7829.085419962409,10.0,2.0,50.0,33.0,0.7088888888888889,0.6106426733825259,7,2,,
btc-updown-15m-1786804200,1786804200,2026-08-15,2026-08-10,weekend,06-12,UP,resolved,954,22432.316995,12473.094608972144,8.184999999999999,2.0,50.0,15.0,1.06,0.9305367419520293,21,2,,
btc-updown-15m-1786815000,1786815000,2026-08-15,2026-08-10,weekend,12-18,UP,resolved,1019,22305.912195,11839.493710983297,10.0,2.173912,50.75,27.0,1.1322222222222222,1.1281639088866475,21,2,,
btc-updown-15m-1786825800,1786825800,2026-08-15,2026-08-10,weekend,12-18,UP,resolved,771,15603.630079,8272.614453006623,9.8,2.0,50.0,22.0,0.8566666666666667,1.3659269948410453,16,2,,
btc-updown-15m-1786858200,1786858200,2026-08-16,2026-08-10,weekend,00-06,DOWN,resolved,932,24833.689146,13385.447137972833,7.2496925,2.0,60.0,27.0,1.0355555555555556,2.4843240980607093,13,2,,
btc-updown-15m-1786879800,1786879800,2026-08-16,2026-08-10,weekend,06-12,UP,resolved,634,13589.042055,8111.348653997159,9.995000000000001,2.0,50.0,23.0,0.7044444444444444,0.5222524449294976,5,2,,
btc-updown-15m-1786890600,1786890600,2026-08-16,2026-08-10,weekend,06-12,UP,resolved,880,13038.413077,7148.827240994666,6.579936,1.83,29.091028,32.0,0.9777777777777777,0.5944830017925973,10,2,,
btc-updown-15m-1786901400,1786901400,2026-08-16,2026-08-10,weekend,12-18,DOWN,resolved,976,20743.986654,10313.040367940515,6.4686065,1.97,50.0,65.0,1.0844444444444445,2.174393812569698,11,2,,
btc-updown-15m-1786923000,1786923000,2026-08-16,2026-08-10,weekend,18-24,UP,resolved,661,13892.036516,6609.394067951471,6.0,1.45714,29.0,33.0,0.7344444444444445,0.4889482285110803,13,2,,
btc-updown-15m-1786933800,1786933800,2026-08-16,2026-08-10,weekend,18-24,UP,resolved,978,21022.099903,10416.542494986761,7.0,1.481478,50.0,53.0,1.0866666666666667,0.9140595158653009,6,2,,
btc-updown-15m-1786950000,1786950000,2026-08-17,2026-08-17,weekday,00-06,DOWN,resolved,809,26048.575013,14317.980378956578,10.0,1.64179,70.136362,75.0,0.8988888888888888,3.9949843494499766,4,2,,
