market_slug,weekend_et,weekend_utc,public_status,public_trade_count,public_volume_shares,public_volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,price_history_points,realized_volatility,price_jump_count_gt_5c,historical_spread,historical_l2_depth,price_history_source,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits,spread,depth_1c,depth_2c,depth_5c,quote_age_sec,quote_update_rate,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,market_start_epoch,sample_group,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index,entry_edge_samples,local_quote_samples,fill_markout_samples,top_bid_size_median,top_ask_size_median,depth_source
btc-updown-15m-1785594600,True,True,SUCCESS_PUBLIC_HISTORY,790,15822.988303,7638.944816038043,8.062257500000001,2.0,40.8397603,20.0,0.8777777777777778,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8777777777777778,15822.988303,,2,1785594600,weekend,2026-07-27,2026-09-20,2026-08-01,10,06-12,0,,,,,,
btc-updown-15m-1785605400,True,True,SUCCESS_PUBLIC_HISTORY,1468,25475.083353,13504.005091984847,6.0,1.3913489,39.432999999999964,9.0,1.6311111111111112,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.6311111111111112,25475.083353,,2,1785605400,weekend,2026-07-27,2026-09-20,2026-08-01,13,12-18,0,,,,,,
btc-updown-15m-1785627000,True,True,SUCCESS_PUBLIC_HISTORY,798,18751.941058,10472.821146969445,5.0,2.0,47.465179300000216,30.0,0.8866666666666667,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8866666666666667,18751.941058,,2,1785627000,weekend,2026-07-27,2026-09-20,2026-08-01,19,18-24,0,,,,,,
btc-updown-15m-1785648600,True,True,SUCCESS_PUBLIC_HISTORY,608,13532.770174,8035.753774040222,6.0,2.0,50.0,59.0,0.6755555555555556,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.6755555555555556,13532.770174,,2,1785648600,weekend,2026-07-27,2026-09-20,2026-08-02,1,00-06,0,,,,,,
btc-updown-15m-1785670200,True,True,SUCCESS_PUBLIC_HISTORY,1149,17763.479093,9763.451150970332,6.17,1.6785116000000009,34.2149992,18.0,1.2766666666666666,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.2766666666666666,17763.479093,,2,1785670200,weekend,2026-07-27,2026-09-20,2026-08-02,7,06-12,0,,,,,,
btc-updown-15m-1785691800,True,True,SUCCESS_PUBLIC_HISTORY,848,16061.747011,8757.670469012819,7.0,2.0,40.0,17.0,0.9422222222222222,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9422222222222222,16061.747011,,2,1785691800,weekend,2026-07-27,2026-09-20,2026-08-02,13,12-18,0,,,,,,
btc-updown-15m-1785702600,True,True,SUCCESS_PUBLIC_HISTORY,665,13698.804037,7791.253005024324,8.08111,2.0,42.509577200000024,24.0,0.7388888888888889,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.7388888888888889,13698.804037,,2,1785702600,weekend,2026-07-27,2026-09-20,2026-08-02,16,12-18,0,,,,,,
btc-updown-15m-1785713400,True,True,SUCCESS_PUBLIC_HISTORY,989,21870.734138,11234.718914913537,6.18946,1.5480000000000003,35.35129040000002,13.0,1.0988888888888888,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.0988888888888888,21870.734138,,2,1785713400,weekend,2026-07-27,2026-09-20,2026-08-02,19,18-24,0,,,,,,
btc-updown-15m-1785724200,True,False,SUCCESS_PUBLIC_HISTORY,590,15460.393533999999,8229.179903065922,5.99,1.176466,34.07222210000002,45.0,0.6555555555555556,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.6555555555555556,15460.393533999999,,2,1785724200,weekend,2026-07-27,2026-09-20,2026-08-02,22,18-24,0,,,,,,
btc-updown-15m-1785762000,False,False,SUCCESS_PUBLIC_HISTORY,806,15532.059285,8274.663511976416,6.042571000000001,1.369862,35.0,30.0,0.8955555555555555,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8955555555555555,15532.059285,,2,1785762000,weekday,2026-07-27,2026-09-20,2026-08-03,9,06-12,1,,,,,,
btc-updown-15m-1785783600,False,False,SUCCESS_PUBLIC_HISTORY,919,17116.654472,10318.821985978944,6.036141,1.5841464,37.0,24.0,1.021111111111111,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.021111111111111,17116.654472,,2,1785783600,weekday,2026-07-27,2026-09-20,2026-08-03,15,12-18,1,,,,,,
btc-updown-15m-1785805200,False,False,SUCCESS_PUBLIC_HISTORY,746,31760.23118,18833.05727404585,6.871666,1.2981470000000002,50.6464545,43.0,0.8288888888888889,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8288888888888889,31760.23118,,2,1785805200,weekday,2026-07-27,2026-09-20,2026-08-03,21,18-24,1,,,,,,
