market_slug,weekend_et,weekend_utc,entry_edge_samples,local_quote_samples,fill_markout_samples,spread,quote_age_sec,depth_1c,depth_2c,depth_5c,top_bid_size_median,top_ask_size_median,quote_update_rate,depth_source,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits
btc-updown-15m-1788803100,False,False,221,356,0,0.01,1.0295911,,,,182.3,182.3,0.3962938173533995,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.6422995780590718,3,442,0,0,0,0,0,0
btc-updown-15m-1788804000,False,False,142,356,0,0.01,1.0316925499999998,,,,155.54000000000002,155.54000000000002,0.39518189205593707,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.6086952924629768,3,284,0,0,0,0,0,0
btc-updown-15m-1788804900,False,False,140,328,0,0.01,1.07248545,,,,184.125,184.125,0.3645920180030053,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.311297261520642,3,280,0,0,0,0,0,0
btc-updown-15m-1788805800,False,False,216,357,0,0.01,1.04404955,,,,180.0,178.52,0.3969129418077117,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.6098556300157194,3,432,0,0,0,0,0,0
btc-updown-15m-1788806700,False,False,189,356,0,0.01,1.057813,,,,186.125,186.125,0.3951524368702936,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5285802928766443,3,378,0,0,0,0,0,0
btc-updown-15m-1788807600,False,False,229,354,0,0.01,1.0974342,,,,210.2,210.2,0.3941234949819348,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.454964010920824,3,458,0,0,0,0,0,0
btc-updown-15m-1788808500,False,False,171,332,0,0.01,1.2889911,,,,193.685,193.685,0.36828546502019316,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.24528625796310088,3,342,0,0,0,0,0,0
btc-updown-15m-1788809400,False,False,208,358,0,0.01,1.1886060999999999,,,,207.5,207.5,0.3976253595225196,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.4963721353520311,3,416,0,0,0,0,0,0
btc-updown-15m-1788810300,False,False,185,356,0,0.01,1.106407,,,,137.495,137.495,0.3955698186022668,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.482580458343675,3,370,0,0,0,0,0,0
btc-updown-15m-1788811200,False,False,178,356,0,0.01,1.2661056,,,,193.41,193.41,0.39682685487354347,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.47575908000330935,3,356,0,0,0,0,0,0
btc-updown-15m-1788812100,False,False,166,326,0,0.01,1.073497,,,,186.5,186.5,0.36307576003827446,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.3063684123438405,3,332,0,0,0,0,0,0
btc-updown-15m-1788813000,False,False,213,356,0,0.01,1.086297,,,,162.825,162.825,0.3969482551057623,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5287891950028957,3,426,0,0,0,0,0,0
btc-updown-15m-1788813900,False,False,222,356,0,0.01,1.20058,,,,175.0,175.0,0.3962419542443343,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.4693575742533301,3,444,0,0,0,0,0,0
btc-updown-15m-1788814800,False,False,204,358,0,0.01,1.1026625,,,,191.5,191.5,0.39792655963274476,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.532497724828328,3,408,0,0,0,0,0,0
btc-updown-15m-1788815700,False,False,77,331,0,0.01,1.0426932,,,,156.94,161.93,0.36794045936643854,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.38202200711508233,3,154,0,0,0,0,0,0
btc-updown-15m-1788816600,False,False,199,358,0,0.01,1.1607371,,,,174.825,174.825,0.3982958667010437,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5104223545958468,3,398,0,0,0,0,0,0
btc-updown-15m-1788817500,False,False,211,358,0,0.01,1.0678121,,,,121.745,121.745,0.3981875821858612,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.574584264085381,3,422,0,0,0,0,0,0
btc-updown-15m-1788818400,False,False,208,354,0,0.01,1.1157845499999999,,,,126.89,126.89,0.39471908666145106,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.45205592785637466,3,416,0,0,0,0,0,0
btc-updown-15m-1788819300,False,False,196,327,0,0.01,1.0740650500000002,,,,132.34,132.34,0.3632178791081878,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.3054976420948126,3,392,0,0,0,0,0,0
btc-updown-15m-1788820200,False,False,215,354,0,0.01,1.198583,,,,205.53,205.53,0.3929720276966774,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.3974890378092165,3,430,0,0,0,0,0,0
btc-updown-15m-1788821100,False,False,233,354,0,0.01,1.106588,,,,227.64499999999998,227.64499999999998,0.39291198838577984,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.42373004053942254,3,466,0,0,0,0,0,0
btc-updown-15m-1788822000,False,False,209,356,0,0.01,1.118181,,,,285.0,285.0,0.39656064892889686,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.4952759162736825,3,418,0,0,0,0,0,0
btc-updown-15m-1788822900,False,False,207,328,0,0.01,1.131623,,,,196.0,196.0,0.3642522080952146,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.2581595929511045,3,414,0,0,0,0,0,0
btc-updown-15m-1788823800,False,False,224,354,0,0.01,1.057174,,,,182.57,182.57,0.39780036636760135,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5874575990733846,3,448,0,0,0,0,0,0
btc-updown-15m-1788824700,False,False,236,356,0,0.01,1.030757,,,,155.64,153.09,0.39226686559731216,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5515595267642922,3,472,0,0,0,0,0,0
btc-updown-15m-1788825600,False,False,182,270,0,0.01,1.0388549,,,,141.575,141.575,0.38637948928295907,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.43961487548605943,3,364,0,0,0,0,0,0
btc-updown-15m-1788863400,False,False,64,124,0,0.01,1.2993036,,,,143.14999999999998,187.155,0.3752036326202966,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.25340241581864814,3,128,0,0,0,0,0,0
btc-updown-15m-1788864300,False,False,154,349,0,0.01,1.1746861499999999,,,,209.73,215.46,0.38803332175046434,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.31508025150988667,3,308,0,0,0,0,0,0
btc-updown-15m-1788865200,False,False,220,356,0,0.01,1.18239615,,,,225.0,225.0,0.3958958708479986,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.46701414743112435,3,440,0,0,0,0,0,0
btc-updown-15m-1788866100,False,False,230,358,0,0.01,1.0969779499999999,,,,289.65,289.65,0.39737591379429776,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5277302060064533,3,460,0,0,0,0,0,0
btc-updown-15m-1788867000,False,False,184,324,0,0.01,1.06672895,,,,158.51,159.805,0.3612747121648031,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.30998593530239105,3,368,0,0,0,0,0,0
