market_slug,condition_id,token_ids,identity_source,gamma_status,trade_fetch_status,trade_rows_raw,trade_rows_matched,trade_identity_mismatch_count,trade_error_code,trade_error_endpoint,price_fetch_status,price_points,price_error_code,price_error_endpoint,gamma_error_code,gamma_error_endpoint,cache_used,fetch_status,error_code,error_stage,error_endpoint,error_message
btc-updown-15m-1788792300,0xdb0a4d1bd9f0363cef193185bfa5e450d3e929b26bba1814cd74b3197f2bcaa5,"[""33539205744501591367821212777483577085470307053365573495147832369054723420853""]",LOCAL_INSTRUMENT_ID,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788792300-9f07f8fba1.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788794100,0x30e120759644449cfda0746703f4fbce1b029f0ce34623949a68972137b8a988,"[""78564436324086219125244912804965961580782514018525891263087206782596393429792"", ""86315369273270810158705672217037335234610552601230672243825186792458011973804""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788794100-99c619b518.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788795000,0x0284c4cf48ef0008deef4e0a4df7d9bcf844f41de79b7b7bbf277b3a7f7cb9e0,"[""35545210909152120436449358887970344991776277996869623247193403583877449424296"", ""97405748010543772833727312614888822881488724416897266222692773740757277346941""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788795000-acab887800.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788795900,0xfd739e845ffb1934ea03a06867986c0133f8eb8e1f5b3d579c579b5f9ec6ea25,"[""48869034052603642146100692754857361631651409466529604991436403457840169564105"", ""53478071462319831782985530696032526494233529472632711181092804437627288827283""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788795900-581a2c96a4.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788796800,0x51ba3a8279ab37d63c6c2735272a4de756f4a117008b74cba69e146e44491748,"[""66751292329046436677335244781777885100104268865501233453928452519112041683644""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788796800-4d535d9abe.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788797700,0xe1e3e15adf16202a90ae05a8cc006464c3c8e28cf8f47aea1010f8b7cc959234,"[""2939123306542627690142418217068398951370657132911955312528067176853925300686"", ""69279180405188399626844478437734793123761923614558387733716671023505478662166""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788797700-57f5cc9033.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788798600,0x1bc11998b3a7cf5115d46af724872887151d6f8e7c9426e6a31008acd72260b0,"[""22450805815117915960027866419542968706600709239407159805436402874724771927586""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788798600-e933b27783.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788799500,0x91efc10a541d92c763aac4422c7d4211d1bec1f3c3eed1d9c300efc74f474318,"[""44939844109870095499413827077799536809123954522828283592247672064220152242715"", ""58428267960006587479941357627193788530013594694976053765706359759063028374027""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788799500-c529f6937c.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788800400,0xd5d155ae8b75e5bef51dbc4f3bf7cb76f914bf370d1db94b05781e3ed76c61de,"[""2129299163434865308928962440905503464392560393678503106658626664370732085817""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788800400-03db960885.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788801300,0x4489f58343c438be66787587b54b21817c3c1c4730856844cc401a5a30c5bb08,"[""101907635042777283879913163105330590135852576785942758046518117212546729524038"", ""88354689119761926257445869489499638533632819034604114797858801596585872993328""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788801300-bb2c25d8d7.json,offline mode: no reusable structured cache entry
